n,delta_r2,post_r2,var,lon_tag,mode,lag
5,0.14410236755274108,0.7555982922367154,so,W60p0,1,0
4,0.061145104470510914,0.6114959246839743,so,W10p0,1,5
8,0.03122664317128987,0.8093713334743795,so,W60p0,1,1
12,0.030754830455028248,0.8426625267671692,so,W10p0,2,0
24,0.024047324507292966,0.9292812963651946,so,W60p0,1,2
6,0.01842529599336118,0.7740235882300766,thetao,W20p0,1,0
18,0.01751637885516666,0.881721805343995,thetao,W60p0,10,0
15,0.016426790010570902,0.8578961115383418,so,W40p0,2,3
20,0.016378368346677163,0.8988336152249483,so,W40p0,2,1
37,0.015267915927731357,0.955095388087208,thetao,W10p0,1,12
3,0.014721652516871964,0.5503508202134634,so,W10p0,1,2
39,0.011593683849121295,0.9660976702433706,thetao,W10p0,4,1
