n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.22677350238910166,0.40002265088418865,thetao,W20p0,2,10
5,0.08733524680150295,0.5500449223222347,thetao,W20p0,2,11
4,0.06626657404436198,0.4627096755207317,thetao,W30p0,2,13
13,0.046230706679637024,0.7121464800328441,so,W60p0,1,0
11,0.04178183362698884,0.6459624295096871,thetao,W30p0,2,12
8,0.03912192635151601,0.5886371308929411,so,W30p0,5,2
15,0.027654776960055694,0.7399716172440536,thetao,W10p0,4,8
21,0.025243768676349032,0.7945549392177271,thetao,W30p0,2,11
12,0.01995334384351999,0.6659157733532071,thetao,W10p0,4,7
10,0.019705106072216205,0.6041805958826982,thetao,W30p0,2,14
19,0.018701078403142835,0.7698790832879475,thetao,W30p0,1,8
24,0.016762991386199633,0.8170678399083222,so,W60p0,1,1
35,0.012820539690863164,0.8594479888170199,thetao,W10p0,7,5
