alpha,mean_cv_r2,std_cv_r2,n_folds_used
0.01,-0.891842244999336,0.5721296057298186,3
0.03,-0.9062546575853428,0.5826826135353085,3
0.1,-0.9565284531048878,0.6176026295336124,3
0.3,-1.063169399901725,0.6848774781700048,3
1.0,-1.209057421281486,0.7418397684814658,3
3.0,-1.3343033810806648,0.7534115174137301,3
4.0,-1.3818094416207292,0.7853147348907118,3
5.0,-1.428904377984747,0.8321812098710064,3
10.0,-1.6563097972479441,1.1362728116720942,3
30.0,-2.2765692243542106,1.9972179633255243,3
40.0,-2.4633522471238916,2.244543843237328,3
50.0,-2.6049413705993008,2.4293674394627907,3
60.0,-2.7158720324643943,2.5728470975000772,3
70.0,-2.805120840083427,2.6875508794974707,3
100.0,-2.9920090584294794,2.9259239035229676,3
300.0,-3.3774907915871686,3.4114636156201468,3
