alpha,mean_cv_r2,std_cv_r2,n_folds_used
40.0,-9.013015097832902,9.132825099324348,3
50.0,-9.053813222074398,8.747495460439707,3
30.0,-9.100584518769375,9.722788706116166,3
60.0,-9.14943585797773,8.475967648610556,3
70.0,-9.268924409615167,8.277032426998884,3
100.0,-9.656162697073793,7.932118320725294,3
300.0,-11.244256953701209,7.90570988924484,3
10.0,-11.269743213969862,13.488077173264083,3
5.0,-14.413420878769784,17.7620651231384,3
4.0,-15.688972198723327,19.47046742477478,3
3.0,-17.454662996654783,21.84249943960575,3
1.0,-23.994029609880098,30.83390113337759,3
0.3,-28.13905893107955,36.860100054024,3
0.1,-29.574803985050014,39.06250956780532,3
0.03,-30.10339534797416,39.88769606046752,3
0.01,-30.257302345307483,40.12804975770946,3
