n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.10808725842188072,0.5706047644002084,thetao,W60p0,1,1
3,0.07851563861417643,0.6491204030143848,so,W60p0,1,0
5,0.041837773224174146,0.7327258339989247,so,W10p0,1,5
4,0.04176765776036573,0.6908880607747505,so,W10p0,1,2
28,0.023911567943601497,0.8706049615749176,so,W60p0,10,20
17,0.020796475652355206,0.8260656976851225,so,W10p0,1,7
13,0.017220674495638133,0.8056655385610306,so,W10p0,1,6
11,0.01611549815801494,0.7804072119279724,so,W10p0,1,0
9,0.01507520456449929,0.7653017964808285,so,W10p0,1,3
22,0.01320383008297421,0.8417620072500115,so,W10p0,1,8
6,0.01217549756966485,0.7449013315685895,so,W60p0,1,2
