alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-1.7671209200920261,1.7071258705657322,3
100.0,-1.8408619722210167,2.0191121612903795,3
70.0,-1.8921518883837087,2.1820677120090117,3
60.0,-1.9206680918103902,2.2626682823373914,3
50.0,-1.9600630699951758,2.365500005882054,3
40.0,-2.017318771762296,2.501354792768797,3
30.0,-2.106652237061646,2.689603955581181,3
10.0,-2.593473241628515,3.440925237823649,3
5.0,-2.962050818149486,3.845026373856607,3
4.0,-3.0778096693066086,3.955284191827066,3
3.0,-3.2192686229483094,4.0825795432710885,3
1.0,-3.6304193302480825,4.424373949484952,3
0.3,-3.841739872363389,4.595565045991261,3
0.1,-3.911009207717394,4.653295991486295,3
0.03,-3.9361450608991135,4.674730230367619,3
0.01,-3.9434045037085643,4.680987648912479,3
