n,feature,score,curve_r2
1,thetao W40p0 EOF5 lag20,,0.5106152781335349
2,thetao W40p0 EOF5 lag19,,0.5191407849492593
3,thetao W10p0 EOF6 lag9,,0.522578970155666
4,thetao W10p0 EOF6 lag10,,0.5315005405196633
5,thetao W30p0 EOF6 lag19,,0.7443445880786892
6,thetao W30p0 EOF6 lag20,,0.7888495616844815
7,thetao W40p0 EOF5 lag18,,0.7893447981862125
8,thetao W10p0 EOF6 lag8,,0.789308627664788
9,thetao W30p0 EOF6 lag18,,0.825886950502721
10,thetao W10p0 EOF6 lag11,,0.8340066326541073
