N_seeds,n_features_after_window,max_lag_used,alpha,r2,corr,var_ratio,mae,rmse
1,5,18,1000000.0,-0.03621364973608232,-0.8644841339329511,0.00018951394725969032,0.48164723567787615,0.5283246742167906
2,10,18,3162.277660168379,-0.01348691647977196,-0.31187020113128533,0.017322345915461692,0.47403094757787284,0.5224988185612794
3,15,23,100000.0,-0.01431861903703946,-0.8543854448693258,0.0018274546061803362,0.47724833758675367,0.5233247856579476
4,15,23,100000.0,-0.01431861903703946,-0.8543854448693258,0.0018274546061803362,0.47724833758675367,0.5233247856579476
5,16,23,31622.776601683796,-0.013258955819150486,-0.8108923387427459,0.004907295726192264,0.4777477401178516,0.5230513543483135
6,17,23,100000.0,-0.014090595238083203,-0.8492793900041081,0.001907156124967478,0.47723233883368815,0.5232659593627637
7,17,23,100000.0,-0.014090595238083203,-0.8492793900041081,0.001907156124967478,0.47723233883368815,0.5232659593627637
8,17,23,100000.0,-0.014090595238083203,-0.8492793900041081,0.001907156124967478,0.47723233883368815,0.5232659593627637
9,20,23,100000.0,-0.013738826173200325,-0.8350749365353456,0.00214690930753479,0.47727546340019683,0.5231751959027001
10,21,23,31622.776601683796,-0.012810051255314203,-0.8128592757884423,0.005869727019593779,0.47787502004248406,0.5229354776761145
11,24,25,1000000.0,-0.003438223172071986,-0.8460497813588125,0.00022768368933828338,0.47012427613137814,0.5168182732911819
12,25,25,1000000.0,-0.0034843568528462043,-0.8680465647921525,0.00025713133011534247,0.47013793575595714,0.5168301536713827
13,25,25,1000000.0,-0.0034843568528462043,-0.8680465647921525,0.00025713133011534247,0.47013793575595714,0.5168301536713827
14,26,25,1000000.0,-0.0034984745182731203,-0.870198600847343,0.00027111841208756306,0.47014412689346397,0.5168337892086383
15,28,25,1000000.0,-0.0035739652479085393,-0.8942786412893026,0.00032080220454511264,0.4701713092922431,0.5168532289123815
16,28,25,1000000.0,-0.0035739652479085393,-0.8942786412893026,0.00032080220454511264,0.4701713092922431,0.5168532289123815
17,29,25,1000000.0,-0.0035889511782358774,-0.8954331624117846,0.00033493789905821004,0.4701775138067644,0.5168570878693848
18,32,25,1000000.0,-0.0036977626564351773,-0.9065520382058653,0.00042001479661456123,0.4702171084196202,0.5168851065414455
19,33,25,1e-06,0.013729108413863766,0.728085025816371,0.37254412025064354,0.41660278370672893,0.5123782056628299
20,36,25,1000000.0,-0.003553396435707734,-0.8585212051278092,0.00037339796598939023,0.4701899753843821,0.5168479322866011
21,37,25,1000000.0,-0.0035906641579421805,-0.8672114193948128,0.00040056610703837555,0.47020314625434645,0.5168575289689623
22,38,25,1e-06,0.02027375833686973,0.6923705523978169,0.4232727135140443,0.41968980832468955,0.5106753684786882
23,40,25,1000000.0,-0.003621697772212551,-0.8821944983360596,0.00043175791562042215,0.4702168852227806,0.5168655201917598
24,41,25,1e-06,0.07404229583033128,0.7798402277291336,0.4349341489651359,0.405669462692436,0.4964644038569144
25,42,25,1e-06,0.1090813786668039,0.7897070917700367,0.44858418995394267,0.39899305143566616,0.4869804860166058
26,43,25,1e-06,0.22386902049263246,0.8046785802228463,0.48181797074290234,0.37481222518637003,0.4545273804749885
27,44,25,1e-06,0.23057238976824856,0.8063274344113464,0.4852076390094548,0.37328977842751054,0.45256026899959056
28,44,25,1e-06,0.23057238976824856,0.8063274344113464,0.4852076390094548,0.37328977842751054,0.45256026899959056
29,47,25,1000000.0,-0.0032967511413131145,-0.7141595821525799,0.0003466624805432837,0.47015423753922164,0.516781839604368
30,48,25,1e-06,0.03889420365186724,0.6184609417733793,0.4528022966118986,0.4040572124687662,0.5057992008545779
31,49,25,1e-06,0.038449548580416604,0.6199259197610171,0.45032630425387415,0.40409968371143584,0.5059161911866961
32,52,25,1e-06,0.006669075600280294,0.5813266893404165,0.4435415713265597,0.4117999070390332,0.5142088165085051
33,53,25,1e-06,0.029872511561492288,0.5959506559278678,0.45105342886179856,0.4087907409043966,0.5081675698066913
34,54,25,1e-06,0.029126516618559917,0.5940075404357851,0.4514949872925282,0.4093286123826577,0.5083629140232289
35,55,25,316227.7660168379,-0.0031836911866442996,-0.7089596481327398,0.001089603058312319,0.47041349852142594,0.5167527211120541
36,58,25,1e-06,0.12036011462904284,0.5862819006049603,0.46798334911767336,0.39414343108874134,0.4838881617079277
37,58,25,1e-06,0.12036011462904284,0.5862819006049603,0.46798334911767336,0.39414343108874134,0.4838881617079277
38,63,25,316227.7660168379,-0.0028542441675751817,-0.6740181537445953,0.0009800664197538397,0.4703385633827318,0.5166678629627729
39,68,25,316227.7660168379,-0.002369618553134334,-0.4896050985549637,0.0008931454343774276,0.4702244153349984,0.5165430089576236
40,71,25,316227.7660168379,-0.002387649904673772,-0.5068421526830962,0.0009373574752991832,0.4702300610236056,0.5165476549118311
41,72,25,316227.7660168379,-0.0025178744804519315,-0.5617861690553805,0.0009911856835131874,0.470269987040659,0.51658120730777
42,74,25,316227.7660168379,-0.0027837382127970933,-0.6493520793278694,0.0011119998306933269,0.47035032875949956,0.5166497004025161
43,78,25,316227.7660168379,-0.0025917713535528186,-0.609349168386736,0.001077070069208814,0.47031635351341106,0.5166002458872615
44,79,25,316227.7660168379,-0.0026266850883662762,-0.6226473806598668,0.001101556253230688,0.4703350171454938,0.516609240718201
45,79,25,316227.7660168379,-0.0026266850883662762,-0.6226473806598668,0.001101556253230688,0.4703350171454938,0.516609240718201
46,80,25,316227.7660168379,-0.002554901130513265,-0.6014322047771407,0.0010876638325024415,0.47032129134440304,0.5165907468359278
47,80,25,316227.7660168379,-0.002554901130513265,-0.6014322047771407,0.0010876638325024415,0.47032129134440304,0.5165907468359278
48,81,25,316227.7660168379,-0.002625820011246782,-0.6242604249681886,0.001121176397794278,0.4703418467914678,0.5166090178501401
49,82,25,316227.7660168379,-0.00270516939233989,-0.6481060896167402,0.0011566660307352895,0.4703647704714396,0.5166294600699556
50,82,25,316227.7660168379,-0.00270516939233989,-0.6481060896167402,0.0011566660307352895,0.4703647704714396,0.5166294600699556
51,82,25,316227.7660168379,-0.00270516939233989,-0.6481060896167402,0.0011566660307352895,0.4703647704714396,0.5166294600699556
52,84,25,316227.7660168379,-0.002997541735159981,-0.7101081222241179,0.0013035858920401352,0.4704488539321888,0.5167047749087714
53,89,25,100.0,0.426586992237615,0.9159564380815214,0.4105100674666274,0.3249164675234518,0.39068461652341674
54,93,25,100.0,0.41399557498826955,0.9158685381655857,0.40729549480800464,0.32790749542096914,0.39495079134663974
55,93,25,100.0,0.41399557498826955,0.9158685381655857,0.40729549480800464,0.32790749542096914,0.39495079134663974
56,94,25,100.0,0.43358344454617326,0.9147378282518394,0.4161244758144019,0.32272559343900215,0.3882938481183047
57,95,25,100.0,0.42246081985203454,0.9150735040869034,0.41245747447073805,0.3254962811193955,0.39208774347680697
58,96,25,100.0,0.42312195745807857,0.9152149233113456,0.412178400657504,0.32542965449029687,0.3918632581171114
59,96,25,100.0,0.42312195745807857,0.9152149233113456,0.412178400657504,0.32542965449029687,0.3918632581171114
60,96,25,100.0,0.42312195745807857,0.9152149233113456,0.412178400657504,0.32542965449029687,0.3918632581171114
61,97,25,100.0,0.4136589129803637,0.9151697142085948,0.408807990018892,0.3278576068756517,0.39506422550261255
62,97,25,100.0,0.4136589129803637,0.9151697142085948,0.408807990018892,0.3278576068756517,0.39506422550261255
63,98,25,100.0,0.4126165030027781,0.9150109865928718,0.40849957677959886,0.32813136256294545,0.3954152464586167
64,103,25,100.0,0.42655592516490515,0.9193966427701618,0.4093259359791325,0.32501539599713414,0.39069519987505785
65,106,25,100.0,0.42584731980073176,0.9199697732431024,0.408987117259087,0.3252543401702523,0.390936516555954
66,110,25,31.622776601683796,0.42136775341125,0.937147957728182,0.3997328245812901,0.320363383065372,0.3924586060745711
67,111,25,31.622776601683796,0.4209054845944018,0.9371813953094509,0.3994144631074394,0.3204612030441486,0.39261534220246724
68,112,25,31.622776601683796,0.4099469146796222,0.9368474452558031,0.39726127997798283,0.3228675581212381,0.39631278550967125
69,113,25,100.0,0.3871044165675276,0.9193089476972758,0.4036430994093125,0.3348360267210658,0.4039110983328885
70,118,25,31.622776601683796,0.529079989008571,0.9431248635393712,0.42778002898161377,0.29604785607368117,0.3540512347752901
71,118,25,31.622776601683796,0.529079989008571,0.9431248635393712,0.42778002898161377,0.29604785607368117,0.3540512347752901
72,119,25,31.622776601683796,0.49933642644749365,0.9437571201729325,0.41601148884965794,0.30286090267807075,0.365061083163116
73,120,25,100.0,0.4642438861510988,0.9258153534203675,0.4215183539984302,0.3146595035479424,0.3776383648405752
74,120,25,100.0,0.4642438861510988,0.9258153534203675,0.4215183539984302,0.3146595035479424,0.3776383648405752
75,121,25,100.0,0.46547130668929415,0.9258561002059582,0.42158061931634444,0.3144743508018661,0.37720553088872144
76,126,25,100.0,0.3613537984240932,0.9192363866782419,0.3570680796691506,0.3458663848640246,0.41230889799210513
77,129,25,100.0,0.36301368767513553,0.9194781662794927,0.3578549317400024,0.3454838284122489,0.41177273855174956
78,132,25,100.0,0.3555191035465608,0.9210627184303183,0.35476824028480847,0.34703158531145906,0.4141880502781666
79,137,25,31.622776601683796,0.33987381971692276,0.930266906158527,0.34227863310999035,0.34494793501233906,0.41918527559877566
80,142,25,31.622776601683796,0.3359282682421,0.9157544223943489,0.34323140843490746,0.34703272160028803,0.42043613728130436
81,142,25,31.622776601683796,0.3359282682421,0.9157544223943489,0.34323140843490746,0.34703272160028803,0.42043613728130436
82,143,25,31.622776601683796,0.3570574263355911,0.9181282714268579,0.34985772491086575,0.3415951535119567,0.41369343858082464
83,146,25,31.622776601683796,0.35880353811795607,0.9132916753301223,0.34587055648144305,0.34119186366290893,0.4131312996516462
84,146,25,31.622776601683796,0.35880353811795607,0.9132916753301223,0.34587055648144305,0.34119186366290893,0.4131312996516462
85,147,25,100.0,0.3772431537461626,0.9085878820058738,0.37092750465722174,0.3408833948078477,0.40714752201489274
86,152,25,100.0,0.34613778805171913,0.9052192938927904,0.35923826271656883,0.3488722143646444,0.4171917006586676
87,157,25,100.0,0.3475444150717144,0.9052963954104559,0.3594131097028376,0.34853650185538715,0.4167427153408227
88,158,25,100.0,0.34821582744117496,0.9052350485886397,0.3598242110896961,0.3486003104717576,0.4165282346608718
89,158,25,100.0,0.34821582744117496,0.9052350485886397,0.3598242110896961,0.3486003104717576,0.4165282346608718
90,163,25,100.0,0.35033526418079375,0.9052371210117416,0.3604961112641751,0.34803270147385,0.41585046116260704
91,168,25,100.0,0.32323927080096815,0.9104708118813275,0.3509945759367959,0.3554488744294915,0.4244339501059431
92,170,25,100.0,0.33846229049714915,0.910482049919124,0.3567353169685717,0.35168578585274984,0.4196332023138944
93,171,25,100.0,0.33037799912793775,0.9110456251711326,0.3539249747617799,0.35353934412556626,0.42218947053190253
94,172,25,100.0,0.3294060110213056,0.9109272986322119,0.3532618957241853,0.35379766515746497,0.4224957734432132
95,177,25,100.0,0.3265551100959292,0.9112175564459615,0.35126717003737545,0.35464623828770564,0.4233929005851387
96,181,25,100.0,0.34082615505565916,0.9124894655575148,0.3555232114984402,0.35093560709829286,0.4188827962802643
97,181,25,100.0,0.34082615505565916,0.9124894655575148,0.3555232114984402,0.35093560709829286,0.4188827962802643
98,181,25,100.0,0.34082615505565916,0.9124894655575148,0.3555232114984402,0.35093560709829286,0.4188827962802643
99,184,25,31.622776601683796,0.47361740657398577,0.8985842185416892,0.42022103251011067,0.3128318668621093,0.3743202311292147
100,184,25,31.622776601683796,0.47361740657398577,0.8985842185416892,0.42022103251011067,0.3128318668621093,0.3743202311292147
