var,lon,mode0,mode,lag,corr,abs_corr
so,W10p0,3,4,13,0.625201019360687,0.625201019360687
thetao,W30p0,1,2,0,-0.6249959692398354,0.6249959692398354
so,W10p0,4,5,2,0.6249741763149157,0.6249741763149157
thetao,W30p0,8,9,5,-0.6249173053350522,0.6249173053350522
thetao,W20p0,1,2,0,-0.6245912621238082,0.6245912621238082
so,W60p0,0,1,4,0.6245649963191202,0.6245649963191202
thetao,W20p0,4,5,23,0.6244072816494063,0.6244072816494063
so,W30p0,4,5,16,0.6240294738146818,0.6240294738146818
thetao,W40p0,2,3,5,-0.6231929820589551,0.6231929820589551
thetao,W30p0,8,9,25,-0.6231786914132555,0.6231786914132555
thetao,W60p0,2,3,11,0.6231136916593443,0.6231136916593443
thetao,W20p0,4,5,24,0.6225808211978047,0.6225808211978047
thetao,W30p0,8,9,23,-0.6221186237935149,0.6221186237935149
so,W20p0,8,9,24,0.6218424356944798,0.6218424356944798
thetao,W10p0,2,3,25,0.6217697812467967,0.6217697812467967
so,W10p0,8,9,17,0.621754242995891,0.621754242995891
thetao,W20p0,1,2,6,-0.621742590326787,0.621742590326787
thetao,W40p0,7,8,24,-0.6216489616326585,0.6216489616326585
so,W10p0,3,4,5,0.6214246705064548,0.6214246705064548
thetao,W30p0,3,4,18,0.6211506707251859,0.6211506707251859
so,W10p0,3,4,10,0.620961752809038,0.620961752809038
so,W30p0,2,3,0,0.6209260344841675,0.6209260344841675
thetao,W20p0,8,9,3,-0.6209033411133278,0.6209033411133278
so,W60p0,1,2,22,-0.620832279305184,0.620832279305184
so,W10p0,8,9,24,0.6207929940266372,0.6207929940266372
thetao,W30p0,1,2,24,-0.6205205773092372,0.6205205773092372
so,W30p0,8,9,20,0.6201115738869868,0.6201115738869868
thetao,W40p0,1,2,20,-0.6200859379399891,0.6200859379399891
thetao,W10p0,8,9,3,-0.6198827531280227,0.6198827531280227
so,W10p0,7,8,10,-0.6195423558430948,0.6195423558430948
