n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.33356646035055093,0.7040355143905148,so,W60p0,1,0
9,0.0938764011859965,0.8473558554278908,so,W40p0,2,1
21,0.03364583229086726,0.9576851266551476,so,W30p0,1,4
16,0.030046192423001883,0.8931148965903466,so,W60p0,1,7
8,0.028926946359190242,0.7534794542418943,thetao,W40p0,3,0
25,0.016026249444139218,0.9975341210524816,thetao,W40p0,5,1
7,0.015573732730992607,0.7245525078827041,so,W30p0,1,3
17,0.01539042147225711,0.9085053180626037,so,W30p0,1,5
23,0.014298259093332377,0.9720455308952626,so,W40p0,2,3
18,0.014180984500646088,0.9226863025632498,so,W60p0,1,4
11,0.012235457307162467,0.8607078461170269,thetao,W10p0,2,1
