alpha,mean_cv_r2,std_cv_r2,n_folds_used
0.01,-1.5726512922771911,1.448228207046561,3
0.03,-1.5762249458606672,1.4563772020871473,3
0.1,-1.5898464133314423,1.485167948918394,3
0.3,-1.6350941871501048,1.568980497644048,3
1.0,-1.8163374588446202,1.8611590417770043,3
3.0,-2.292511018786564,2.559939163499096,3
4.0,-2.4898658050828804,2.831098328821401,3
5.0,-2.6636083844540033,3.060531953881084,3
10.0,-3.2838160467443633,3.7987625297706935,3
30.0,-4.2761922107749895,4.561677126800424,3
40.0,-4.519494544295433,4.621439304624625,3
50.0,-4.708848486444828,4.630128665215189,3
60.0,-4.86566869833288,4.616038461785049,3
70.0,-5.0001731127201205,4.591491052299579,3
100.0,-5.316803519488936,4.501119779739768,3
300.0,-6.223881045105377,4.136055058395619,3
