n,delta_r2,post_r2,var,mode,lag
3,0.1474031725713888,0.7076089708144775,so,8,1
4,0.06484965448457336,0.7724586252990508,so,8,2
5,0.04790180925712195,0.8203604345561728,so,4,0
14,0.037638724122276424,0.9076028898601154,so,4,5
19,0.023178260590686728,0.9403315913196406,so,10,6
22,0.01655192593820476,0.9712972042993855,so,4,3
6,0.016354640726183645,0.8367150752823564,so,10,7
21,0.014039757403194741,0.9547452783611807,so,4,7
7,0.013743038422748821,0.8504581137051053,so,8,3
