alpha,mean_cv_r2,std_cv_r2,n_folds_used
30.0,-1.3720500209946824,2.047482920412836,3
10.0,-1.4142846624599403,0.8139579732490061,3
40.0,-1.627637016583299,2.3954493668787302,3
50.0,-1.9103065635940906,2.580037602598926,3
5.0,-2.013271320213187,2.413519501381764,3
60.0,-2.190882313671023,2.6780782578554687,3
4.0,-2.280399741644716,2.9851229342218737,3
70.0,-2.4577716772551663,2.727549077240625,3
3.0,-2.677803670307703,3.728775798545271,3
100.0,-3.1493442028908603,2.7460718660262655,3
1.0,-4.613140424614771,6.6878378716096405,3
300.0,-5.2779076244287015,2.410932921515325,3
0.3,-6.670744350476057,9.605419122698281,3
0.1,-7.82349434418386,11.109525945485265,3
0.03,-8.397133640920602,11.756058298845335,3
0.01,-8.590076077465524,11.952052729476712,3
