alpha,mean_cv_r2,std_cv_r2
10.0,-3.5236727839028945,0.49987098358068355
5.0,-3.83748709424153,0.6670199121696908
30.0,-3.8417744173129527,1.3676437533165378
4.0,-3.9933625839120475,0.8264560623679615
40.0,-4.1178943095234235,1.7498934586232537
3.0,-4.216998689706617,1.0605017689562926
50.0,-4.380388683019585,2.0898457639966073
60.0,-4.620303527294141,2.3921437387018463
70.0,-4.836683847668871,2.6613383482755784
1.0,-5.0809256365375415,1.951966721049103
100.0,-5.3633667015388165,3.310883676010979
0.3,-5.6800262993231305,2.544183900063353
0.1,-5.912588670616302,2.7627713535429543
0.03,-6.003436691439148,2.845581482211458
0.01,-6.030434291096699,2.8698640503322874
300.0,-6.820262315812719,5.106769187822057
