n,delta_r2,post_r2,var,lon_tag,mode,lag
3,0.2329829702326508,0.3199820476411359,thetao,W40p0,3,0
13,0.05404012536488434,0.49179695883043717,thetao,W10p0,7,17
35,0.05090961077636269,0.7929061513642808,thetao,W10p0,8,1
5,0.05079910873565119,0.3696948876029359,so,W40p0,2,1
30,0.03700742618402697,0.6644423620358217,thetao,W40p0,2,19
14,0.03461109585172495,0.5264080546821621,so,W20p0,2,4
31,0.028432950154424486,0.6928753121902462,thetao,W10p0,7,16
28,0.026908253542972438,0.6276645231271568,thetao,W40p0,2,15
18,0.026854505591256683,0.5698598126219472,thetao,W60p0,3,19
34,0.024825313017129536,0.7419965405879181,thetao,W40p0,2,13
8,0.024522219511748156,0.39430720381246265,so,W20p0,2,3
33,0.023643405952363805,0.7171712275707885,thetao,W30p0,6,0
10,0.02212458809207518,0.42036657106345077,so,W40p0,2,2
11,0.015561235375857962,0.43592780643930873,thetao,W60p0,3,16
59,0.014963267645917377,0.8878697618657811,so,W60p0,7,17
49,0.012138742468992936,0.8510335237864233,so,W60p0,7,15
20,0.011549294799627963,0.5809606062596706,so,W30p0,2,0
23,0.010737295125610169,0.5917318410318054,thetao,W10p0,7,18
15,0.010701711116818835,0.537109765798981,so,W40p0,2,3
