n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.0885866445762189,0.5205144469432467,thetao,W20p0,1,3
4,0.06176984475766223,0.5794844348445141,thetao,W20p0,1,2
5,0.04340350396477799,0.622887938809292,thetao,W60p0,2,0
26,0.02525060447544747,0.7764806513594564,so,W30p0,1,8
28,0.023026971178215283,0.8158705447833182,thetao,W30p0,4,8
8,0.022796729900814383,0.6441819207081251,thetao,W20p0,1,4
17,0.0217152904318465,0.732845939770596,so,W60p0,1,1
11,0.018981575972584985,0.6694634440086552,thetao,W30p0,4,2
47,0.01781704411816487,0.8589692667467377,so,W40p0,1,7
12,0.016427363355456803,0.685890807364112,thetao,W20p0,1,1
27,0.016362922245646505,0.7928435736051029,so,W40p0,1,4
16,0.012504153787448624,0.7111306493387495,so,W30p0,1,2
15,0.010748522520216075,0.6986264955513009,thetao,W30p0,4,1
