n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.42882227591445865,0.5726640918765785,so,W40p0,2,2
14,0.08525188512382997,0.8476776584794238,so,W10p0,2,1
12,0.06097903676947669,0.7232567338586096,thetao,W60p0,9,0
20,0.06013319409430207,0.9492776446641206,thetao,W60p0,10,0
13,0.03916903949698425,0.7624257733555938,so,W30p0,2,0
3,0.0266373130224008,0.5993014048989793,so,W40p0,2,3
5,0.024943200740352278,0.6244549571765139,thetao,W40p0,10,1
15,0.017378855229948864,0.8650565137093726,so,W10p0,8,1
11,0.017289628446400362,0.6622776970891329,so,W60p0,1,2
27,0.014010787012425974,0.9855765182302788,so,W40p0,5,0
19,0.011236353137976107,0.8891444505698185,so,W40p0,4,0
