N_seeds,n_features_after_window,max_lag_used,alpha,r2,corr,var_ratio
5,15,20,100.0,0.4094844112842856,0.9082502207710048,0.3094120984374566
10,27,20,100.0,0.7339977570853621,0.9081953846996647,0.6234541780649339
15,37,20,1.0,0.8143383925424156,0.9035919140113741,0.8597033239518904
20,44,20,1.0,0.7655785572297304,0.886677313246285,0.7498865349691705
30,61,23,10.0,0.7814590057279407,0.9055848701407698,0.7111789238763713
40,72,24,1.0,0.8164873423455119,0.9180961382598603,1.0320445815663577
50,83,25,1.0,0.7770646577231239,0.8907718422924406,1.0156530763634861
