n,delta_r2,post_r2,var,lon_tag,mode,lag
54,0.03317050748463135,0.3640269916224702,thetao,W40p0,1,4
35,0.027159483529170414,0.18695923453561292,thetao,W30p0,6,15
43,0.02549462418116788,0.2533964701445056,thetao,W40p0,1,3
45,0.025320767162396507,0.27891087270829196,so,W40p0,1,3
59,0.017671223192651464,0.40002525270884104,thetao,W40p0,2,9
52,0.016409164148136535,0.32637300210745,so,W40p0,3,2
20,0.015420324765136773,0.0878203279223363,so,W40p0,3,1
47,0.015366854140856812,0.29578466810882675,thetao,W20p0,6,19
50,0.013571946090040754,0.3097435327635357,so,W20p0,7,19
9,0.01302872875300276,0.051279847184522054,thetao,W40p0,9,1
27,0.012938361459055026,0.13354964826793925,so,W60p0,2,2
57,0.011283164438826376,0.381903429494423,thetao,W40p0,2,10
38,0.010730463238023291,0.21149814948876522,so,W10p0,4,20
29,0.01062918565186588,0.14459612334985728,so,W40p0,1,2
