n,delta_r2,post_r2,var,lon_tag,mode,lag
3,0.09878259959932134,0.18579872413237786,so,W60p0,1,0
2,0.055604899349738,0.08701612453305652,so,W40p0,2,0
13,0.04611951557445615,0.39191775896681624,thetao,W30p0,4,3
9,0.04114701861971348,0.2836203414383588,so,W20p0,2,2
4,0.03848433141663421,0.22428305554901207,so,W60p0,1,1
10,0.03664874025168896,0.32026908169004775,so,W40p0,2,1
16,0.02785276335887532,0.4410427004617773,thetao,W30p0,4,2
12,0.02553313359217957,0.3457982433923601,so,W30p0,1,3
18,0.024806919513704617,0.46559268522521535,thetao,W30p0,4,0
38,0.017953682722416042,0.5606650028142516,thetao,W40p0,6,2
19,0.01646518570800548,0.48205787093322083,thetao,W60p0,2,0
31,0.01357929156504234,0.5334110207614766,thetao,W20p0,1,5
14,0.012039899885092908,0.40395765885190915,thetao,W20p0,1,4
