var,lon,mode0,lag,corr,abs_corr
thetao,W60p0,9,5,-0.2248610621157166,0.2248610621157166
so,W60p0,5,12,0.2246753614642748,0.2246753614642748
thetao,W20p0,8,0,-0.22459158417537178,0.22459158417537178
so,W10p0,8,11,0.22439849769369424,0.22439849769369424
so,W20p0,9,19,-0.2240884834635079,0.2240884834635079
thetao,W20p0,8,10,-0.22394280286816598,0.22394280286816598
thetao,W30p0,7,22,-0.2239373705610694,0.2239373705610694
so,W60p0,0,13,0.2236951754878333,0.2236951754878333
so,W20p0,6,2,-0.22364552817503922,0.22364552817503922
thetao,W30p0,9,23,0.22358177924564757,0.22358177924564757
thetao,W60p0,3,7,-0.22329085727365974,0.22329085727365974
thetao,W10p0,2,18,0.22323458800346604,0.22323458800346604
so,W30p0,5,15,-0.22317695074133462,0.22317695074133462
so,W20p0,4,4,0.22301220880943434,0.22301220880943434
thetao,W30p0,6,3,0.2227868672839237,0.2227868672839237
thetao,W20p0,5,12,-0.22274542596262184,0.22274542596262184
thetao,W20p0,9,8,-0.2226270047186644,0.2226270047186644
thetao,W30p0,8,9,-0.22248397647611756,0.22248397647611756
thetao,W30p0,8,4,-0.22223137412385752,0.22223137412385752
thetao,W40p0,4,23,0.22190748885332023,0.22190748885332023
so,W10p0,1,14,0.2218304828887138,0.2218304828887138
so,W60p0,5,18,-0.22131082846281047,0.22131082846281047
so,W40p0,2,11,-0.22124321660011492,0.22124321660011492
thetao,W60p0,2,10,0.2211806175917605,0.2211806175917605
thetao,W20p0,0,6,0.22083321281941973,0.22083321281941973
thetao,W10p0,7,19,0.2206623883005453,0.2206623883005453
so,W40p0,1,10,0.2202322841516797,0.2202322841516797
thetao,W30p0,5,14,-0.21949075439240728,0.21949075439240728
thetao,W20p0,0,9,0.21941459263466498,0.21941459263466498
so,W30p0,9,22,-0.21931959411803675,0.21931959411803675
thetao,W60p0,6,6,0.21930126234481293,0.21930126234481293
so,W20p0,6,12,0.21891543700009386,0.21891543700009386
so,W40p0,5,4,-0.21887559569706494,0.21887559569706494
thetao,W40p0,3,17,0.21881023640660643,0.21881023640660643
thetao,W20p0,4,12,0.21799255233417633,0.21799255233417633
so,W40p0,4,1,0.2179486497403406,0.2179486497403406
so,W10p0,4,1,0.21773445786558845,0.21773445786558845
so,W40p0,4,9,-0.2171510986304932,0.2171510986304932
thetao,W40p0,4,14,0.2170846748116485,0.2170846748116485
so,W40p0,1,8,0.21674165052168592,0.21674165052168592
thetao,W10p0,1,4,-0.2159349822682072,0.2159349822682072
so,W40p0,3,8,-0.21590235548512784,0.21590235548512784
so,W40p0,8,10,0.2157704073722662,0.2157704073722662
so,W60p0,9,0,0.21574534978294224,0.21574534978294224
thetao,W10p0,2,4,0.21568049777027365,0.21568049777027365
so,W40p0,9,20,-0.21545101987125043,0.21545101987125043
so,W40p0,9,4,-0.21524306360280931,0.21524306360280931
