n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.09590732077329778,0.2129209592489012,so,W40p0,2,3
41,0.0847551183786337,0.6972954770325681,so,W40p0,5,1
15,0.08423149375214734,0.4618018423194399,thetao,W60p0,3,1
5,0.045210165004288316,0.32050662012206876,so,W60p0,1,2
3,0.03737128082125818,0.2502922400701594,so,W40p0,2,2
16,0.025859416390423773,0.48766125870986365,thetao,W60p0,10,0
4,0.02500421504762107,0.27529645511778045,so,W60p0,1,0
49,0.02331305627293756,0.751001170067827,so,W60p0,1,12
27,0.021898208355890292,0.5653939948058437,thetao,W40p0,6,1
43,0.01971563990072367,0.7183891588048285,thetao,W40p0,9,2
28,0.016941502342541437,0.5823354971483852,thetao,W40p0,6,2
9,0.01691587827991603,0.34711223643592837,so,W10p0,2,0
22,0.016632724047636382,0.5357104936056151,so,W20p0,6,15
10,0.01605106954558244,0.3631633059815108,thetao,W40p0,9,1
19,0.010303246075062056,0.5090859292660316,so,W40p0,7,8
