n,delta_r2,post_r2,var,lon_tag,mode,lag
29,0.04446516235075226,0.8002372939646932,thetao,W40p0,3,6
13,0.04305530961420012,0.637521844958973,so,W40p0,2,2
23,0.03420550621753282,0.7245205228650899,so,W40p0,2,11
2,0.02816211576832872,0.51912345720878,so,W60p0,1,0
37,0.02669034759815414,0.8581102224348154,so,W30p0,2,0
9,0.025170518140535614,0.5879927613644526,so,W60p0,1,2
8,0.02241637779446526,0.5628222432239169,so,W60p0,1,10
33,0.017499542412521385,0.8196885077566116,so,W60p0,1,6
14,0.01614991049555825,0.6536717554545313,so,W10p0,2,14
3,0.013784292975112855,0.5329077501838928,so,W60p0,1,1
24,0.012580352496841085,0.737100875361931,so,W60p0,1,12
26,0.011862436393786813,0.7514528113414863,so,W40p0,2,0
