alpha,mean_cv_r2,std_cv_r2,n_folds_used
5.0,-5.111973856775037,2.8829642534446336,3
10.0,-5.162687104875041,3.131433517520889,3
4.0,-5.212531199724876,2.939259590893794,3
3.0,-5.402507990585044,3.0915043650340643,3
1.0,-6.336848414050647,4.080103217775577,3
30.0,-6.431133235531491,4.598133882383568,3
40.0,-6.932625145323107,5.032887957781666,3
0.3,-7.029625330534352,4.934428636295717,3
0.1,-7.292602216138991,5.274919243975424,3
50.0,-7.3430276438277,5.351115173470048,3
0.03,-7.393453925637249,5.407358789219714,3
0.01,-7.423180610963809,5.446577041773969,3
60.0,-7.683700910497985,5.59476887446339,3
70.0,-7.970705916842796,5.788231661679518,3
100.0,-8.61192069040092,6.190732702736419,3
300.0,-10.131209844084644,7.059503172407242,3
