step_n,delta_r2,r2_new,var,lon,mode,lag,max_lag_used
40,-0.011384244218712425,0.685225331622864,thetao,W40p0,5,27,30
44,-0.011807858826305417,0.6709986796156705,thetao,W20p0,3,24,30
117,-0.013882964551362953,0.722435782922412,so,W10p0,5,25,30
104,-0.014990806787455346,0.6783381486233864,thetao,W60p0,4,21,30
68,-0.015047676526779075,0.6918047422343012,thetao,W30p0,6,25,30
50,-0.01701465034835814,0.6946788448465757,thetao,W10p0,1,27,30
112,-0.01710004373797669,0.651181941112472,thetao,W40p0,5,25,30
55,-0.017602451674142428,0.703894479018887,thetao,W10p0,1,25,30
9,-0.019796615583483113,0.7151257281237595,thetao,W30p0,6,29,29
89,-0.020919648402089597,0.6966955257807066,thetao,W10p0,2,13,30
23,-0.02119916160218971,0.6797198311152616,so,W10p0,5,15,29
19,-0.02233762401516448,0.7423422268314237,so,W10p0,5,20,29
47,-0.024093810332991072,0.6600920332009657,thetao,W10p0,1,26,30
24,-0.025915039926027506,0.6538047911892341,thetao,W30p0,6,26,29
101,-0.02916400867860791,0.695756024429621,thetao,W30p0,4,26,30
84,-0.03131122474757819,0.7152322113151157,thetao,W20p0,9,2,30
63,-0.038906657729765315,0.7060591279383287,so,W10p0,8,24,30
36,-0.04391611942351825,0.6444970444757555,thetao,W10p0,2,19,30
110,-0.04568799341117913,0.6684655534028334,so,W10p0,8,28,30
20,-0.04820904808629445,0.6941331787451293,so,W40p0,3,0,29
52,-0.04914987728223552,0.6606583807713304,so,W10p0,5,23,30
54,-0.05754810458629789,0.7214969306930294,thetao,W20p0,9,3,30
3,-0.05809526132041287,-0.9430141487628929,so,W60p0,1,3,3
76,-0.0625604048599061,0.7161539042139793,so,W10p0,8,25,30
30,-0.0639855436196779,0.585781616943199,thetao,W10p0,2,14,30
26,-0.06674438264650928,0.5833800258567368,thetao,W10p0,2,18,29
11,-0.0935978305972911,0.6209915771858889,thetao,W10p0,2,16,29
2,-0.24205210791892906,-0.88491888744248,so,W60p0,1,2,2
4,-0.26695546176723806,-1.209969610530131,so,W60p0,1,0,3
