n_features,post_r2,delta_r2
1,0.15710751310729465,
2,0.37569301296938273,0.21858549986208808
3,0.3721387977537025,-0.003554215215680223
4,0.3718500656399881,-0.000288732113714385
5,0.37142692646997544,-0.0004231391700126874
6,0.39251821849619295,0.021091292026217512
7,0.39239244242708726,-0.0001257760691056875
8,0.4675201700657192,0.07512772763863196
9,0.47404329857828753,0.00652312851256831
10,0.5126729173273655,0.038629618749078
11,0.515101368940718,0.002428451613352478
12,0.5325894527635424,0.017488083822824407
13,0.5880713604702728,0.05548190770673034
14,0.5968457236095484,0.008774363139275598
15,0.6461228362052267,0.04927711259567835
16,0.6570459291839128,0.0109230929786861
17,0.656687355380696,-0.00035857380321679955
18,0.6547420698107359,-0.001945285569960098
19,0.6545435515762349,-0.00019851823450101058
20,0.6541557068155617,-0.00038784476067321716
21,0.6608515617701786,0.006695854954616887
22,0.6617765671552427,0.000925005385064126
23,0.6689304627372693,0.007153895582026615
24,0.6899905689225956,0.021060106185326277
25,0.6906508895106636,0.0006603205880679752
26,0.7019231235181951,0.011272234007531523
27,0.7036890724929283,0.0017659489747332557
28,0.7177460803636119,0.014057007870683536
29,0.7193745432526829,0.0016284628890710362
30,0.7205833333181331,0.0012087900654501604
31,0.7212160343406437,0.0006327010225106733
32,0.7213266355014608,0.00011060116081706983
33,0.7274208735364647,0.006094238035003863
34,0.7360176725151883,0.008596798978723674
35,0.7410025722034352,0.004984899688246891
36,0.7650704109309148,0.02406783872747953
37,0.7666481823037318,0.001577771372817005
38,0.7660336154576488,-0.0006145668460829645
39,0.7690096987168857,0.002976083259236928
40,0.772146723726779,0.003137025009893213
41,0.7747482500986932,0.0026015263719142423
42,0.776036802234834,0.0012885521361407637
43,0.7775278797678747,0.0014910775330407855
44,0.7973148958667857,0.01978701609891098
45,0.796888779336548,-0.000426116530237719
46,0.80217358595157,0.005284806615021953
47,0.8183819812965982,0.01620839534502827
48,0.8181244692196202,-0.00025751207697799483
49,0.8183735372904497,0.00024906807082947235
50,0.824301553503101,0.005928016212651266
51,0.8237524230015685,-0.000549130501532491
52,0.8301247558361494,0.0063723328345809405
53,0.8303470637283227,0.00022230789217325686
54,0.8314635111436226,0.001116447415299926
55,0.8361977691782884,0.0047342580346657614
56,0.8396624537458679,0.0034646845675795346
57,0.841636072655179,0.0019736189093111367
58,0.8435564984807985,0.001920425825619465
59,0.8469946945597497,0.003438196078951239
60,0.8477063730748693,0.0007116785151195515
