var,lon,mode,lag,corr,abs_corr
thetao,W40p0,3,0,-0.6410135831888493,0.6410135831888493
thetao,W60p0,2,0,-0.6286114562407157,0.6286114562407157
thetao,W30p0,4,4,0.6011691921040775,0.6011691921040775
thetao,W10p0,2,0,-0.5907788522763892,0.5907788522763892
thetao,W60p0,2,1,-0.5843453029783904,0.5843453029783904
thetao,W40p0,7,4,0.5833550106414525,0.5833550106414525
thetao,W30p0,4,5,0.5695624795590505,0.5695624795590505
thetao,W40p0,7,3,0.5669092256984096,0.5669092256984096
thetao,W30p0,4,3,0.563908107212063,0.563908107212063
so,W20p0,10,4,-0.549942459443056,0.549942459443056
so,W20p0,1,18,0.5483369986908163,0.5483369986908163
thetao,W20p0,2,0,-0.539239467570482,0.539239467570482
thetao,W10p0,2,1,-0.5343791594794536,0.5343791594794536
thetao,W10p0,9,0,0.5294078415252049,0.5294078415252049
so,W20p0,10,3,-0.5267578011914524,0.5267578011914524
so,W60p0,1,1,0.525082350480019,0.525082350480019
thetao,W60p0,2,2,-0.5244998710332306,0.5244998710332306
so,W30p0,1,18,0.5221695590519077,0.5221695590519077
thetao,W10p0,9,4,0.5211009336314792,0.5211009336314792
thetao,W30p0,5,0,0.5198013100129698,0.5198013100129698
thetao,W20p0,5,4,0.5179784377073019,0.5179784377073019
so,W60p0,1,0,0.5151585319889478,0.5151585319889478
so,W60p0,1,2,0.5128137462440355,0.5128137462440355
thetao,W20p0,5,3,0.5125710821122494,0.5125710821122494
thetao,W30p0,4,6,0.512525807851541,0.512525807851541
thetao,W10p0,9,3,0.5089215348490381,0.5089215348490381
thetao,W40p0,4,0,-0.5086865847762113,0.5086865847762113
thetao,W20p0,5,2,0.5086184338872658,0.5086184338872658
thetao,W40p0,7,5,0.5043749577885394,0.5043749577885394
thetao,W10p0,9,2,0.49961165899630566,0.49961165899630566
thetao,W40p0,7,2,0.49955735670692714,0.49955735670692714
so,W30p0,1,15,0.4955137912344482,0.4955137912344482
so,W40p0,2,19,0.4953287129312936,0.4953287129312936
thetao,W20p0,5,0,0.4942503230276303,0.4942503230276303
thetao,W10p0,2,2,-0.4933657210840613,0.4933657210840613
so,W30p0,1,16,0.4930832806558345,0.4930832806558345
thetao,W20p0,7,1,0.4923704986505269,0.4923704986505269
thetao,W10p0,9,5,0.4922212313012276,0.4922212313012276
thetao,W20p0,5,1,0.4866569320035758,0.4866569320035758
thetao,W40p0,3,1,-0.48496791661917804,0.48496791661917804
so,W30p0,1,14,0.48492186701677764,0.48492186701677764
so,W20p0,10,2,-0.4825697103027731,0.4825697103027731
thetao,W20p0,5,5,0.48151441819447754,0.48151441819447754
so,W30p0,1,19,0.48105772510329664,0.48105772510329664
thetao,W40p0,3,16,-0.480436004972456,0.480436004972456
so,W30p0,1,17,0.4775609897940977,0.4775609897940977
thetao,W20p0,3,11,0.47726262701775635,0.47726262701775635
so,W40p0,2,17,0.4772155765793905,0.4772155765793905
thetao,W40p0,3,15,-0.476777395326487,0.476777395326487
so,W60p0,1,13,0.4757525327675282,0.4757525327675282
so,W20p0,1,19,0.47437169522237976,0.47437169522237976
so,W60p0,1,3,0.4742631991244881,0.4742631991244881
so,W40p0,2,16,0.47348024202334993,0.47348024202334993
thetao,W30p0,7,6,-0.4731932202737178,0.4731932202737178
thetao,W30p0,7,5,-0.4715950194378934,0.4715950194378934
thetao,W20p0,2,2,-0.47134412455834834,0.47134412455834834
thetao,W40p0,7,0,0.4698428013260568,0.4698428013260568
so,W20p0,1,16,0.4696769467650688,0.4696769467650688
thetao,W20p0,3,12,0.46949503708024415,0.46949503708024415
so,W10p0,2,19,0.46905526144051146,0.46905526144051146
so,W40p0,2,15,0.46789475120694785,0.46789475120694785
thetao,W30p0,5,3,0.4674510044360547,0.4674510044360547
so,W20p0,1,17,0.46712429083738577,0.46712429083738577
thetao,W30p0,4,2,0.46560615802249294,0.46560615802249294
thetao,W10p0,10,25,-0.46493869401486776,0.46493869401486776
thetao,W20p0,2,1,-0.46469748619240503,0.46469748619240503
thetao,W30p0,4,7,0.46286966893434833,0.46286966893434833
