rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,57,thetao W60p0 EOF8 lag5,-0.03827119283943123,0.03827119283943123,57,1
2,1447,so W60p0 EOF8 lag14,0.036295018700542685,0.036295018700542685,1447,1
3,1838,so W30p0 EOF9 lag1,-0.03455309580740197,0.03455309580740197,1838,1
4,1297,thetao W10p0 EOF8 lag25,-0.03313463795177123,0.03313463795177123,1297,1
5,1769,so W40p0 EOF10 lag20,-0.03241009066268824,0.03241009066268824,1769,1
6,1423,so W60p0 EOF4 lag12,-0.03220123698182726,0.03220123698182726,1423,1
7,2591,so W10p0 EOF2 lag25,0.031190917704912963,0.031190917704912963,2591,1
8,1019,thetao W20p0 EOF10 lag23,0.02976272077656267,0.02976272077656267,1019,1
9,1177,thetao W10p0 EOF8 lag13,0.029659205286497167,0.029659205286497167,1177,1
10,1828,so W30p0 EOF9 lag0,-0.029616130903793923,0.029616130903793923,1828,1
11,38,thetao W60p0 EOF9 lag3,0.029286084802049132,0.029286084802049132,38,1
12,1794,so W40p0 EOF5 lag23,-0.029068045872960458,0.029068045872960458,1794,1
13,148,thetao W60p0 EOF9 lag14,0.02882470831067412,0.02882470831067412,148,1
14,1353,so W60p0 EOF4 lag5,0.02872626511408769,0.02872626511408769,1353,1
15,9,thetao W60p0 EOF10 lag0,0.028035401656641607,0.028035401656641607,9,1
16,1804,so W40p0 EOF5 lag24,-0.027787961951781084,0.027787961951781084,1804,1
17,1537,so W60p0 EOF8 lag23,-0.027601311818078084,0.027601311818078084,1537,1
18,1236,thetao W10p0 EOF7 lag19,0.027306588630344714,0.027306588630344714,1236,1
19,1639,so W40p0 EOF10 lag7,-0.02716997018009729,0.02716997018009729,1639,1
20,1437,so W60p0 EOF8 lag13,0.027141871612889362,0.027141871612889362,1437,1
21,2332,so W20p0 EOF3 lag25,0.02661647039426036,0.02661647039426036,2332,1
22,1029,thetao W20p0 EOF10 lag24,0.026347151303968225,0.026347151303968225,1029,1
23,772,thetao W30p0 EOF3 lag25,-0.026257586193627398,0.026257586193627398,772,1
24,885,thetao W20p0 EOF6 lag10,0.025926852084335508,0.025926852084335508,885,1
25,365,thetao W40p0 EOF6 lag10,-0.025880604662438172,0.025880604662438172,365,1
26,218,thetao W60p0 EOF9 lag21,0.025751368536371385,0.025751368536371385,218,1
27,47,thetao W60p0 EOF8 lag4,-0.025480037750767758,0.025480037750767758,47,1
28,1226,thetao W10p0 EOF7 lag18,0.025126090969141143,0.025126090969141143,1226,1
29,780,thetao W20p0 EOF1 lag0,-0.025085716337120416,0.025085716337120416,780,1
30,1559,so W60p0 EOF10 lag25,-0.024780307806183854,0.024780307806183854,1559,1
31,2037,so W30p0 EOF8 lag21,-0.024619703416344743,0.024619703416344743,2037,1
32,1343,so W60p0 EOF4 lag4,0.024506985407396268,0.024506985407396268,1343,1
33,2199,so W20p0 EOF10 lag11,0.024489289693108266,0.024489289693108266,2199,1
34,1413,so W60p0 EOF4 lag11,-0.024408247536689024,0.024408247536689024,1413,1
35,1336,so W60p0 EOF7 lag3,-0.024339541423559447,0.024339541423559447,1336,1
36,1759,so W40p0 EOF10 lag19,-0.02425011261998221,0.02425011261998221,1759,1
37,503,thetao W40p0 EOF4 lag24,0.0242427207296563,0.0242427207296563,503,1
38,2209,so W20p0 EOF10 lag12,0.024123260180958284,0.024123260180958284,2209,1
39,1518,so W60p0 EOF9 lag21,0.02401809668475374,0.02401809668475374,1518,1
40,1615,so W40p0 EOF6 lag5,0.023964816688163706,0.023964816688163706,1615,1
41,737,thetao W30p0 EOF8 lag21,0.023893291313465233,0.023893291313465233,737,1
42,1363,so W60p0 EOF4 lag6,0.02386117941429106,0.02386117941429106,1363,1
43,2496,so W10p0 EOF7 lag15,0.023839175172653247,0.023839175172653247,2496,1
44,776,thetao W30p0 EOF7 lag25,-0.02381296883876298,0.02381296883876298,776,1
45,33,thetao W60p0 EOF4 lag3,-0.023694619309792594,0.023694619309792594,33,1
46,2065,so W30p0 EOF6 lag24,-0.023569905701446073,0.023569905701446073,2065,1
47,1142,thetao W10p0 EOF3 lag10,0.023153023304937462,0.023153023304937462,1142,1
48,1547,so W60p0 EOF8 lag24,-0.022945329398339664,0.022945329398339664,1547,1
49,339,thetao W40p0 EOF10 lag7,0.02286885563339147,0.02286885563339147,339,1
50,2047,so W30p0 EOF8 lag22,-0.022818952514303492,0.022818952514303492,2047,1
51,1039,thetao W20p0 EOF10 lag25,0.022752784606989724,0.022752784606989724,1039,1
52,1428,so W60p0 EOF9 lag12,-0.022727458010525108,0.022727458010525108,1428,1
53,1457,so W60p0 EOF8 lag15,0.022681618981561607,0.022681618981561607,1457,1
54,1788,so W40p0 EOF9 lag22,0.022439300235158693,0.022439300235158693,1788,1
55,1605,so W40p0 EOF6 lag4,0.02243084204885168,0.02243084204885168,1605,1
56,1808,so W40p0 EOF9 lag24,0.022375496786045224,0.022375496786045224,1808,1
57,1893,so W30p0 EOF4 lag7,0.02232965332995556,0.02232965332995556,1893,1
58,2405,so W10p0 EOF6 lag6,0.02232102264341555,0.02232102264341555,2405,1
59,2089,so W20p0 EOF10 lag0,0.022286945893192366,0.022286945893192366,2089,1
60,816,thetao W20p0 EOF7 lag3,0.022121815380079013,0.022121815380079013,816,1
61,747,thetao W30p0 EOF8 lag22,0.02206300410586413,0.02206300410586413,747,1
62,1418,so W60p0 EOF9 lag11,-0.022053105761796567,0.022053105761796567,1418,1
63,572,thetao W30p0 EOF3 lag5,0.02193771843900501,0.02193771843900501,572,1
64,1082,thetao W10p0 EOF3 lag4,-0.021634444404890655,0.021634444404890655,1082,1
65,582,thetao W30p0 EOF3 lag6,0.02158842723577982,0.02158842723577982,582,1
