N_features_used,n_predictors,max_lag_used,best_alpha,R2,corr,var_ratio,mae,rmse
5,5,18,0.1,0.4165751324232859,0.8784019684329314,0.3415580155429745,0.3425043459003779,0.3964320037994695
10,10,18,0.1,0.7641056103042101,0.904325943704017,0.6855584659781625,0.20482527345739723,0.25207805868091154
15,15,18,10.0,0.7630672474126847,0.8936015462526162,0.7082236164075356,0.2016392405307082,0.2526322496739485
20,20,18,10.0,0.7207655271550857,0.8829595015872798,0.6602972185431103,0.22362991961310422,0.2742589165454063
30,30,21,0.1,0.7171831568879368,0.8605650136945514,0.8186455620171244,0.21407074511543506,0.2763355378958361
40,40,22,10.0,0.7161560083282827,0.8730968851866296,0.6994165069723742,0.22143794860250843,0.2768368878146493
50,50,23,100.0,0.7219606898133619,0.8873401966311669,0.6377228516642934,0.23615157543823345,0.27399157360499865
