n,delta_r2,post_r2,var,lon_tag,mode,lag
14,0.03613418701299331,0.12301333737793574,thetao,W20p0,2,13
26,0.030725225083492624,0.2251230607339635,thetao,W20p0,2,11
47,0.028629321447105394,0.3604146171958137,thetao,W20p0,2,12
57,0.02362888536715846,0.4238737698795976,thetao,W20p0,2,3
3,0.023620611872141484,0.0509564332956467,thetao,W60p0,5,8
32,0.02306198095574752,0.2762051867861969,thetao,W20p0,2,4
27,0.016468677576749413,0.2415917383107129,thetao,W20p0,2,10
40,0.015276547041803146,0.3128344514235406,thetao,W20p0,2,9
51,0.015223653328056419,0.39101082250316277,thetao,W20p0,2,19
20,0.014505584935750604,0.17491200604369106,thetao,W30p0,5,7
49,0.014302881414038016,0.37490979867154384,thetao,W20p0,2,5
16,0.014062541199997947,0.1376066807618127,thetao,W30p0,5,6
21,0.011862647583332664,0.18677465362702372,thetao,W20p0,2,18
45,0.011716310515256345,0.3318579726356238,thetao,W20p0,2,1
