n,delta_r2,post_r2,var,lon_tag,mode,lag
8,0.09162105037053914,0.5131562334573262,so,W40p0,2,1
2,0.06695824627893299,0.36975004066243355,thetao,W30p0,4,3
12,0.05136065705357862,0.6321546450972014,so,W30p0,1,11
10,0.04776146838843298,0.5696044182160716,thetao,W20p0,3,4
14,0.03522270212559275,0.672030806710468,thetao,W30p0,1,18
4,0.028870010316324857,0.4103430809884314,thetao,W60p0,2,0
15,0.028238193667738276,0.7002690003782063,so,W30p0,1,12
37,0.0256794832231102,0.8745928793012728,thetao,W10p0,1,3
18,0.020027654991655486,0.7379370661902391,thetao,W10p0,5,16
20,0.017992019095307343,0.7638556462695705,so,W40p0,2,0
16,0.017923413469310145,0.7181924138475164,so,W40p0,2,2
26,0.017130053129645106,0.8051762786070078,thetao,W30p0,1,16
33,0.01478883980568746,0.8372287128255956,so,W40p0,5,10
3,0.011723030009673008,0.38147307067210656,thetao,W30p0,4,4
24,0.011205336605305871,0.7829731526844214,thetao,W60p0,2,1
11,0.01118956982755126,0.5807939880436228,thetao,W30p0,1,17
