n_features,test_r2,delta_r2,max_lag_used
1,0.09041448794198625,,1
2,-0.043943227311566746,-0.134357715253553,2
3,0.35160953333416833,0.3955527606457351,8
4,0.3417727409188729,-0.009836792415295448,8
5,0.755578881763999,0.4138061408451261,16
6,0.7583101944788165,0.0027313127148175242,16
7,0.5955853997178866,-0.16272479476092994,16
8,0.6265532475786442,0.03096784786075757,16
9,0.6060654194889394,-0.02048782808970473,18
10,0.6080083929461857,0.0019429734572462554,18
11,0.5847638498620445,-0.023244543084141145,18
12,0.5854439932438139,0.0006801433817693603,18
13,0.5748034729469869,-0.01064052029682705,18
14,0.5676413012740082,-0.007162171672978612,19
15,0.4639914452033421,-0.10364985607066612,19
16,0.5930474928474114,0.1290560476440693,19
17,0.5995617797701618,0.006514286922750356,19
18,0.6065273878739252,0.006965608103763454,19
19,0.6105114182561275,0.003984030382202297,19
20,0.6869067717986874,0.07639535354255989,19
21,0.6831726783457139,-0.003734093452973486,19
22,0.7189155450172626,0.03574286667154869,19
23,0.7508871041695842,0.03197155915232153,20
24,0.7730671772126246,0.022180073043040482,20
25,0.7602353373478208,-0.012831839864803851,20
26,0.7595592903766101,-0.0006760469712107087,20
27,0.7791573273892971,0.01959803701268703,20
28,0.7613052695811902,-0.017852057808106947,20
29,0.7621517636580792,0.0008464940768890816,20
30,0.7569747308963242,-0.005177032761755074,20
31,0.7572509846859011,0.00027625378957696345,20
32,0.7531006992380498,-0.004150285447851343,20
33,0.7545292153740756,0.0014285161360257925,20
34,0.758242227963597,0.0037130125895213917,20
35,0.7523551757869748,-0.005887052176622221,20
36,0.7538433496428257,0.0014881738558509827,20
37,0.7531489897162901,-0.0006943599265356593,20
38,0.7545573165314996,0.0014083268152095263,20
39,0.7533484567916691,-0.0012088597398305367,20
40,0.7535520352908991,0.00020357849923002824,20
41,0.7534478478155591,-0.00010418747534002293,20
42,0.7472408170207352,-0.006207030794823876,20
43,0.7490484759651717,0.0018076589444364632,20
44,0.7895726703528131,0.04052419438764143,20
45,0.8055156917622021,0.01594302140938897,20
46,0.8017834201860594,-0.003732271576142643,20
47,0.8023021022043937,0.0005186820183342711,20
48,0.7981147965706292,-0.00418730563376446,20
49,0.7969197524670422,-0.0011950441035870618,20
50,0.7942302079915409,-0.002689544475501293,20
51,0.7872503569409097,-0.006979851050631147,20
52,0.7910042494968744,0.0037538925559646996,20
53,0.7907115985985433,-0.0002926508983310816,20
54,0.7914172297670634,0.0007056311685200711,20
55,0.7861119074753241,-0.005305322291739301,20
56,0.7859808956695565,-0.00013101180576757798,20
57,0.7852897429985891,-0.0006911526709674209,20
58,0.7852951220303668,5.379031777663634e-06,20
59,0.7784843990095955,-0.006810723020771237,20
60,0.7710995558866198,-0.007384843122975715,20
