N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,n_folds_used
5,1,10.0,-0.03510358510879058,0.1279147228863245,0.351223436936763,0.480150051684196,2
5,1,30.0,-0.04160128718356454,0.0556954551678403,0.3243178670049537,0.43324022369493564,2
5,1,3.0,-0.1246848377541348,0.2892558568831533,0.3753866450141705,0.5857641611855078,2
5,0,3.0,-0.16590538730868853,0.11801764953901273,0.33261149001234114,0.6012559660675629,2
5,0,1.0,-0.17506852436793885,0.1646383278175063,0.35093493741307397,0.6445918365918744,2
5,0,0.1,-0.19473295513600342,0.2072200203613358,0.3625020578837391,0.6816040371415154,2
5,0,10.0,-0.19644995670205434,0.08568860253255028,0.30330108174611814,0.5461996365479571,2
5,0,0.01,-0.19789295008487567,0.21287002308075248,0.3637834114478691,0.6865135313561612,2
5,1,100.0,-0.19792854507259816,0.18535873842245565,0.30672068829249843,0.38288134188698186,2
5,0,0.001,-0.19822553600509996,0.2134528779614091,0.3639126180285395,0.6870206187510065,2
5,0,0.0001,-0.1982589667675526,0.21351134691371143,0.3639255490292919,0.6870714942444927,2
5,1,1.0,-0.244548111245032,0.4437981126293236,0.3895375135460896,0.6873202487241656,2
15,1,100.0,-0.2860360334233538,0.2737432785711016,0.27628001480496267,0.3983841963449153,2
5,0,30.0,-0.30300545701344894,0.16001813316719093,0.27771542159456375,0.4894638150609174,2
15,0,100.0,-0.3488042100741357,0.4031626032955216,0.2680160901315221,0.4076770993774032,2
15,0,30.0,-0.3534378427748747,0.46952169312502906,0.26149899014936495,0.5044081347005164,2
5,1,0.1,-0.36609928216975185,0.5774677357765426,0.4016064598037213,0.777930542470676,2
5,1,0.01,-0.38392683577791203,0.5941022593942773,0.4031388445308226,0.7910604187673558,2
5,1,0.001,-0.3858059399206384,0.5957869872962698,0.4032931498768799,0.7924472751937043,2
5,1,0.0001,-0.38599489832402106,0.595955624761713,0.4033085821469143,0.7925867697818563,2
15,1,30.0,-0.43300946998132284,0.5323020322227726,0.29943328325676066,0.5252777661525464,2
10,0,0.0001,-0.46112809918851155,0.6412759808869395,0.3681379896839114,0.7701549591998762,2
10,0,0.001,-0.46122882218111416,0.6413703611525156,0.36812029580609357,0.7701071954767518,2
10,0,0.01,-0.46223375089679086,0.6423120577254613,0.3679437295253988,0.769633006123817,2
15,1,300.0,-0.4713884190924892,0.33570495407264855,0.2447165440483806,0.30284637406423964,2
10,0,0.1,-0.47204340830108366,0.6515074557200526,0.36621571628234795,0.7652137200109992,2
10,0,1.0,-0.545040915179142,0.719244118182515,0.3525360722317619,0.7396686400640203,2
15,0,10.0,-0.5666681709079293,0.7392602993951252,0.25148000063480375,0.6073091252531866,2
10,0,30.0,-0.5702329908930805,0.6177149802286498,0.30281528083717646,0.6302276035364978,2
10,1,100.0,-0.5962795654199213,0.6254938513680013,0.26300030537246094,0.5292089095203782,2
10,0,10.0,-0.6004504305983424,0.7208187530330953,0.3186916512953336,0.6809603361094052,2
10,0,3.0,-0.6054848702838014,0.7681922071095244,0.33672339549321684,0.7176553741449403,2
10,1,30.0,-0.6058409860666927,0.7043404981113761,0.28021435970207254,0.5914597537464994,2
5,0,100.0,-0.6361616869984281,0.5992519068167292,0.2577296627749295,0.38695708827255715,2
10,0,100.0,-0.6989955609907725,0.7221290467772832,0.2894908361692047,0.5399773989431128,2
5,1,300.0,-0.7085626939298812,0.7389483282213186,0.3004869024924737,0.28479533387661127,2
15,0,300.0,-0.729665539654123,0.718342341267947,0.26889769754930115,0.31076809490991875,2
10,1,10.0,-0.8340562722011001,0.9960008531355707,0.2860365451077487,0.6700950288775989,2
10,1,300.0,-0.8623073310108519,0.8991774820523656,0.2516326225604308,0.4316010121000051,2
15,0,3.0,-0.8938220572003195,1.0848744175891147,0.2497768739454956,0.7028998045229473,2
15,1,10.0,-0.9769805724681251,1.051712644368037,0.28335423888923084,0.6579684609581594,2
15,0,1.0,-1.144041992745672,1.3273256188648377,0.2592802973805309,0.7551075033935879,2
15,1,1000.0,-1.147154006299695,0.849841943181656,0.21871953353555695,0.19250725484913553,2
10,0,300.0,-1.1792777195944508,1.2603586702747371,0.28350725307205676,0.39116967515514117,2
15,0,0.1,-1.3427309696423015,1.5153650288737608,0.27453447859709634,0.7943006675187262,2
5,0,300.0,-1.3678926820765511,1.4373813172623142,0.2485978709251582,0.24529343424301514,2
15,0,0.01,-1.3689636255081608,1.5400864161338208,0.27702670777835897,0.7998658385115699,2
15,0,0.001,-1.3716837440587275,1.5426494377114257,0.27729006203170725,0.8004518612674847,2
15,0,0.0001,-1.371956782576085,1.5429067044860842,0.277316544760871,0.8005107820904416,2
10,1,3.0,-1.3915487901863248,1.5899250789228219,0.2728714566012137,0.8064311031172873,2
10,1,1000.0,-1.5959774227438026,1.5606597208078843,0.24583846682627153,0.25813245114365524,2
15,0,1000.0,-1.6493106261425754,1.4619851621026043,0.26868118573019717,0.17788407642543896,2
5,1,1000.0,-1.7252262840366486,1.6501913736262663,0.29812345563811704,0.14902353955127873,2
10,0,1000.0,-2.1204205006885886,2.0580106970779615,0.2809804866890852,0.19994524723357399,2
10,1,1.0,-2.1398617167055827,2.350770583882934,0.2568510624685306,0.9497106085907282,2
5,0,1000.0,-2.3704168961664327,2.2719051355821063,0.24475415166477613,0.10796490458596031,2
15,1,3.0,-2.371331691666045,2.171613047924665,0.21402899076491372,0.8181848538951545,2
10,1,0.1,-3.1393287476797376,3.3531232010055234,0.24150125903152378,1.10860372199986,2
10,1,0.01,-3.304138133943934,3.5173546595408833,0.23872261580575962,1.1330685363572264,2
10,1,0.001,-3.3214163596309563,3.53455019993536,0.2384018219250646,1.1356505948525348,2
10,1,0.0001,-3.3231514206046913,3.5362767002220203,0.2383691836721577,1.135910328138285,2
15,1,1.0,-4.683977345146502,4.125416760929354,0.13068859585871018,0.9988415536105588,2
15,1,0.1,-11.83181472746801,10.857480292523839,0.031209224387470702,1.4118151135858106,2
15,1,0.01,-15.537656477983077,14.491829740648601,0.01297695759730072,1.57074809000668,2
15,1,0.001,-16.112754767230285,15.059119433994212,0.010902574420174532,1.593321572558138,2
15,1,0.0001,-16.173611112448448,15.119187309956693,0.010691916623252098,1.5956837468895135,2
