n,delta_r2,post_r2,var,lon_tag,mode,lag
8,0.06109668600398255,0.167963759487313,thetao,W30p0,4,0
15,0.04818483815579522,0.36966138574419005,thetao,W30p0,1,11
10,0.045139362939783156,0.22633570971897754,thetao,W40p0,3,0
4,0.03629469791369022,0.07548322659983075,thetao,W60p0,2,0
14,0.03282898357632924,0.32147654758839483,thetao,W30p0,1,10
12,0.03218366146865692,0.27620289213678284,thetao,W30p0,1,12
2,0.027042039081130453,0.027311753423723606,so,W30p0,1,5
41,0.01856266633905357,0.4675237821442726,thetao,W20p0,2,13
11,0.01768352094914838,0.24401923066812592,thetao,W30p0,4,1
55,0.016826104639910522,0.5358510903105616,thetao,W10p0,2,18
47,0.015865888029017006,0.49250588435670484,thetao,W20p0,2,11
53,0.01371908151381962,0.5181090763849048,thetao,W10p0,2,16
9,0.01323258729188137,0.18119634677919438,thetao,W60p0,2,1
7,0.01269725167263247,0.10686707348333047,so,W30p0,1,12
13,0.012444671875282753,0.2886475640120656,thetao,W30p0,4,5
3,0.011876775262416928,0.039188528686140534,thetao,W30p0,4,4
56,0.011007089003387982,0.5468581793139495,so,W30p0,1,2
5,0.010205774819509017,0.08568900141933977,thetao,W30p0,4,2
