alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-3.774380677518746,2.3398118626724393,3
100.0,-4.300128484197928,3.191220501848461,3
70.0,-4.583837524523396,3.841933958637887,3
60.0,-4.721941595213951,4.158940563619794,3
50.0,-4.894559257502734,4.545572544919954,3
40.0,-5.115016836303899,5.015234446110614,3
30.0,-5.404073205278924,5.575557658462975,3
10.0,-6.364801283508528,6.715461990832877,3
5.0,-6.797093341228872,6.681756670135394,3
4.0,-6.916318843614394,6.609191093454964,3
3.0,-7.061436275130371,6.4959565967666215,3
1.0,-7.577845768998355,6.0288792689835455,3
0.3,-8.074000418221638,5.647950624610206,3
0.1,-8.351854138891028,5.476938922571938,3
0.03,-8.481469312109377,5.40733489457368,3
0.01,-8.522751124894436,5.38652155820568,3
