n,delta_r2,post_r2,var,lon_tag,mode,lag
5,0.035033457935441104,0.08531982309242703,so,W40p0,5,0
15,0.03465450814253068,0.22201764088537446,so,W20p0,3,2
47,0.032118322175740066,0.45384015434030067,so,W60p0,1,14
8,0.029423927704311015,0.12195423792992044,so,W40p0,2,3
19,0.025594123216066134,0.2847848979430154,so,W40p0,5,2
30,0.02232923045912283,0.3560840151945137,so,W20p0,3,3
13,0.02217274706786443,0.16755905598204912,so,W60p0,4,3
32,0.022160560676157348,0.37833252345778023,so,W60p0,1,15
14,0.019804076760794653,0.18736313274284377,so,W10p0,10,17
16,0.018179520314519526,0.24019716119989398,thetao,W20p0,1,2
58,0.018170920296426418,0.5241208300106763,thetao,W30p0,1,6
17,0.017750281375262023,0.257947442575156,so,W20p0,3,1
36,0.013202262436526113,0.4060928573256547,so,W20p0,3,0
22,0.01312720728150496,0.30588859162726656,so,W20p0,7,18
12,0.01300181384133825,0.1453863089141847,thetao,W60p0,3,1
23,0.012738230863139521,0.3186268224904061,so,W10p0,10,18
35,0.011657426601626275,0.3928905948891286,thetao,W60p0,3,2
49,0.011073642542563933,0.47108898464479854,thetao,W40p0,2,1
4,0.010262087733711622,0.050286365156985924,thetao,W10p0,3,2
