n_features,post_r2,delta_r2
1,0.4214391912449802,
2,0.5816047823236151,0.16016559107863493
3,0.6402161282992067,0.05861134597559159
4,0.6638440316408983,0.023627903341691625
5,0.6856157997408201,0.021771768099921762
6,0.6925025393271251,0.006886739586305035
7,0.6931826030319801,0.0006800637048549607
8,0.7119409241790748,0.018758321147094748
9,0.7450779513483795,0.03313702716930467
10,0.7497349529994655,0.004657001651085957
11,0.7490205354039687,-0.0007144175954967302
12,0.7561616464930588,0.007141111089090102
13,0.7585586205874677,0.0023969740944088658
14,0.7848266809202267,0.02626806033275897
15,0.7856260769269745,0.0007993960067478323
16,0.800148234194927,0.014522157267952474
17,0.8283129275409229,0.028164693345995917
18,0.8305278891981398,0.0022149616572169073
19,0.8312133256747032,0.0006854364765633836
20,0.8384255149063465,0.007212189231643351
21,0.8430130969406215,0.004587582034275006
22,0.8581708718242669,0.015157774883645336
23,0.8572238124020313,-0.0009470594222356077
24,0.8691676368641064,0.011943824462075092
25,0.873545531644544,0.004377894780437597
26,0.8755525183909549,0.002006986746410977
27,0.8928259905492084,0.017273472158253478
28,0.8921635672458188,-0.0006624233033896143
29,0.8937433250788575,0.001579757833038653
30,0.8937202829948099,-2.304208404757535e-05
31,0.8940497101144027,0.0003294271195928289
32,0.8949965964850055,0.0009468863706028063
33,0.8948236281019613,-0.00017296838304425854
34,0.8959401558114831,0.001116527709521864
35,0.8977625699990565,0.0018224141875733402
36,0.8978483185282933,8.574852923681764e-05
37,0.8984870124334954,0.0006386939052021035
38,0.8989633195781827,0.0004763071446872713
39,0.9005337999031947,0.001570480325012058
40,0.9003638425248202,-0.00016995737837455227
41,0.8998439276157235,-0.0005199149090966415
42,0.9050660137896227,0.0052220861738991875
43,0.9057222121284559,0.000656198338833236
44,0.906312605455522,0.0005903933270660078
45,0.9106692680836095,0.004356662628087538
46,0.9116091304769371,0.0009398623933276617
47,0.914363264989478,0.0027541345125408068
48,0.9179856579047889,0.003622392915310968
49,0.9195303428095897,0.0015446849048007527
50,0.9198459110525262,0.00031556824293654806
51,0.9198942400766025,4.832902407625461e-05
52,0.9201392520318894,0.0002450119552869223
53,0.9224495517678557,0.0023102997359663036
54,0.9227688091020537,0.0003192573341980198
55,0.9238517242555492,0.0010829151534954562
56,0.9238150018231167,-3.6722432432467755e-05
57,0.9249660104495674,0.001151008626450678
58,0.9255825029514714,0.0006164925019039869
59,0.9294211152976749,0.0038386123462035293
60,0.9297850777170342,0.0003639624193593205
