alpha,mean_cv_r2,std_cv_r2
60.0,-2.73645348680973,2.64756130988342
50.0,-2.9137132219885142,3.1267100489871313
70.0,-3.097548802517508,2.8010771118522837
40.0,-4.056211838823534,4.854252402422259
100.0,-5.501087977446017,5.025747408266945
30.0,-6.9892250199597425,9.061879072262478
300.0,-19.401149416363143,20.307622202985605
10.0,-28.40598594272677,39.457428571650496
3.0,-53.3008538987863,75.580501528076
1.0,-66.16944461166372,94.26646031015974
0.3,-71.22122761329409,100.46634780923736
0.1,-72.47899806118667,101.11783173034512
0.03,-72.88494641081671,100.9850151787295
0.01,-73.00118094863468,100.89242211084009
