n,feature,score,curve_r2
1,so EOF6 lag0,,0.5647275249632746
2,so EOF10 lag8,,0.5602057982430887
3,so EOF8 lag1,,0.7076089708144775
4,so EOF8 lag2,,0.7724586252990508
5,so EOF4 lag0,,0.8203604345561728
6,so EOF10 lag7,,0.8367150752823564
7,so EOF8 lag3,,0.8504581137051053
8,so EOF4 lag6,,0.8554138107431706
9,thetao EOF6 lag2,,0.8563904712209961
10,so EOF8 lag0,,0.8561658898601281
