year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1880,12.369819641113281,-0.04791480316653738,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1881,12.492982864379883,-0.038233158566118176,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1882,12.504435539245605,0.018390940684022198,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1883,12.896759033203125,-0.05128123182445944,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1884,12.263651847839355,-0.16110885361432578,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1885,12.070527076721191,-0.18750515581198005,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1886,12.725302696228027,0.02065327649098461,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1887,12.708478927612305,0.14283330064135558,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1888,12.521393775939941,0.09863328365134054,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1889,13.019001007080078,0.15466982529959175,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1890,12.78288459777832,0.08186062347322144,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
