k,r2_train,corr_train,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method,selected_by,amoc_variant,amoc_var_used,run_label
1,0.3049881708197829,0.5522720536611844,-0.2861579281605606,0.6726659541906652,8,so W10p0 EOF1 lag5,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r7i1p1f1
2,0.3752690186183587,0.6126037083673204,-0.4282481835756371,0.8037029890365764,"4,10",so W30p0 EOF2 lag20 | thetao W20p0 EOF2 lag4,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r7i1p1f1
3,0.4149084176198704,0.6441395644269935,-0.413676479561631,0.7283740671482477,"4,7,10",so W30p0 EOF2 lag20 | thetao W30p0 EOF2 lag6 | thetao W20p0 EOF2 lag4,spike_curve_post.csv,all,train,normal,AMOC_45N_member,r7i1p1f1
