n,delta_r2,post_r2,var,lon_tag,mode,lag
12,0.03745119244883843,0.13447304958390627,thetao,W10p0,4,8
24,0.03736577637656735,0.2593953811381777,thetao,W20p0,1,6
47,0.03180360844228858,0.44020760901701295,thetao,W20p0,1,5
28,0.03018888265341524,0.31574588614034094,thetao,W20p0,1,7
4,0.022812062422690293,0.059974612817776274,thetao,W40p0,6,1
38,0.02172296424500675,0.3817219411122921,thetao,W10p0,4,9
58,0.021665078482968614,0.5072346310514159,so,W40p0,5,2
23,0.02019863167556979,0.22202960476161038,so,W40p0,5,1
15,0.018620778775232605,0.16097212351265233,thetao,W10p0,4,7
17,0.016890128260338533,0.18112266382684894,thetao,W60p0,6,8
5,0.01526685468998823,0.0752414675077645,thetao,W40p0,6,3
30,0.0143434172479745,0.33334280434277885,thetao,W30p0,1,7
46,0.011734081003215935,0.40840400057472437,thetao,W60p0,10,0
48,0.010851237268515668,0.4510588462855286,so,W60p0,10,0
25,0.010625782703743258,0.270021163841921,thetao,W40p0,6,0
37,0.010422619004127887,0.3599989768672853,thetao,W40p0,6,4
54,0.0103164200570387,0.47295249663857963,so,W10p0,2,1
