n,feature,score,curve_r2
1,so W40p0 EOF2 lag3,,0.0040754877719973
2,so W40p0 EOF2 lag4,,0.0092148843886208
3,so W60p0 EOF1 lag0,,0.0240495013544029
4,so W60p0 EOF1 lag1,,0.0240959162288186
5,so W40p0 EOF2 lag2,,0.0249541357190022
6,so W10p0 EOF10 lag0,,0.0289421523797825
7,thetao W40p0 EOF5 lag7,,0.0304835130388601
8,so W40p0 EOF2 lag5,,0.0307071430392597
9,so W10p0 EOF2 lag1,,0.054319894069866
10,so W40p0 EOF1 lag0,,0.0743216705274331
