n,delta_r2,post_r2,var,lon_tag,mode,lag
4,0.3482201298913955,0.5137272337734577,thetao,W60p0,2,0
5,0.1443387266388021,0.6580659604122598,so,W60p0,1,0
2,0.05778500622078031,0.16543297150940295,thetao,W30p0,4,0
18,0.027810664761359294,0.7404012611346422,so,W10p0,4,1
27,0.025409404630730936,0.811457592496792,thetao,W30p0,2,0
7,0.01986087480362886,0.6819420323379346,so,W60p0,1,2
49,0.015861965980808357,0.9001043814802572,so,W30p0,7,0
21,0.013276040571212233,0.7611002828673858,so,W60p0,1,3
12,0.011068633949531614,0.6994686971770958,so,W30p0,1,5
47,0.010306001459524317,0.8817847396903985,thetao,W10p0,1,1
28,0.010085918665954763,0.8215435111627467,so,W10p0,4,3
