n,delta_r2,post_r2,var,lon_tag,mode,lag
4,0.14911597232253238,0.30879431684059044,so,W30p0,3,3
13,0.04282384119965155,0.556140184225052,thetao,W20p0,3,2
28,0.03672395100536363,0.7612959324416411,thetao,W60p0,10,0
21,0.0350248124215119,0.6677750227859008,so,W10p0,2,4
14,0.03461057473832707,0.590750758963379,so,W60p0,10,0
7,0.0332285447245495,0.3899434862096467,so,W30p0,3,2
6,0.033127667379277526,0.3567149414850972,thetao,W30p0,5,2
10,0.0330764626865081,0.4756937543650198,so,W40p0,2,2
27,0.030477834677711924,0.7245719814362774,thetao,W20p0,8,9
9,0.029663981599329037,0.4426172916785117,so,W10p0,2,3
3,0.025007692221334366,0.15967834451805807,so,W10p0,2,2
8,0.023009823869535984,0.4129533100791827,so,W40p0,7,0
11,0.021606851739475186,0.497300606104495,so,W10p0,2,0
48,0.02040095726680513,0.8920977757209236,so,W60p0,2,0
22,0.01808030196461541,0.6858553247505162,thetao,W40p0,2,2
40,0.016269574054837088,0.8468695268165883,so,W60p0,6,1
12,0.01601573692090541,0.5133163430254004,thetao,W30p0,5,1
36,0.015757495897991136,0.811579652450736,so,W40p0,5,1
5,0.014792957265229223,0.32358727410581967,so,W40p0,2,4
32,0.01124563528074951,0.782982572388623,so,W60p0,4,2
60,0.010930020424972153,0.9173884185745811,thetao,W30p0,6,0
39,0.010462100404864283,0.8305999527617512,so,W20p0,3,2
44,0.010338539574718975,0.8671161185847648,thetao,W40p0,5,2
18,0.010256327472386362,0.6207298696718766,thetao,W20p0,1,4
