n,delta_r2,post_r2,var,lon_tag,mode,lag
14,0.1980007239980891,0.7565485240502177,thetao,W20p0,2,0
5,0.10330918622446539,0.3717153494628639,thetao,W60p0,2,2
3,0.09767049341123679,0.21733149594900603,so,W30p0,1,6
7,0.05460185552359065,0.4603800560756047,so,W30p0,1,7
4,0.05107466728939247,0.2684061632383985,thetao,W60p0,2,1
19,0.04216237932853106,0.8227663770431018,thetao,W60p0,2,4
8,0.038882353756258925,0.49926240983186365,so,W30p0,1,4
27,0.03824840877844038,0.9494008443520779,so,W60p0,1,2
21,0.03601350296661132,0.8636417941605512,so,W60p0,1,7
6,0.03406285108915019,0.4057782005520141,so,W30p0,1,5
10,0.03401649906929005,0.5331385876672434,so,W30p0,1,3
16,0.027125648261810187,0.7800462489326334,so,W60p0,1,0
24,0.01787525196634976,0.8957762274563793,so,W60p0,1,5
31,0.015711814201619823,0.9794395772737029,so,W30p0,1,8
26,0.014718099718494915,0.9111524355736376,thetao,W10p0,1,3
12,0.0132202739977203,0.5471924453934398,thetao,W10p0,1,0
13,0.011355354658688754,0.5585478000521286,thetao,W60p0,2,3
2,0.011175636853262505,0.11966100253776923,thetao,W40p0,3,0
