N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,n_folds_used
5,0,300.0,0.0023084902565732035,0.01615351563104339,0.40270965673088843,0.08698138433779178,2
5,0,100.0,-0.004801394190202868,0.02139063625037363,0.41177536794830233,0.15687146772897442,2
10,0,300.0,-0.010077041599585945,0.014314748664161436,0.3354116488046309,0.11939039733602874,2
5,0,1000.0,-0.015594300330948219,0.019560196529460727,0.3970720982034287,0.03508386458140884,2
10,0,1000.0,-0.018535408445280455,0.020807799300751606,0.32941047498410503,0.05284532144552407,2
10,0,100.0,-0.023849328005678405,0.012166071299245518,0.3441720379650935,0.19890945912240054,2
10,1,30.0,-0.02542178840456627,0.12118685136726043,0.32881499661914837,0.3423491016549173,2
10,1,300.0,-0.027275588341141965,0.0057133375684139676,0.2849636722782676,0.13725501892197944,2
10,1,1000.0,-0.028994885553669136,0.02558373610414655,0.25398875584260683,0.06674928666727066,2
10,1,100.0,-0.030240815042291813,0.047287872783008944,0.31600480235187073,0.22436097558664903,2
10,1,10.0,-0.03227267853823007,0.19485099550526314,0.32147600040409746,0.458043099204342,2
5,1,1000.0,-0.03256518440612122,0.034876195466170046,0.2943425112906116,0.04651040781483695,2
5,1,300.0,-0.03778610826398321,0.041039077078943276,0.31912400507069927,0.10229082470522238,2
10,0,30.0,-0.06044194871963382,0.09547995081608451,0.3452345235976407,0.2884116810704583,2
5,1,100.0,-0.06496670670713145,0.035456864963836154,0.35375681820729554,0.17217382975364642,2
15,0,1000.0,-0.06994434354610829,0.07544943981856428,0.3420451687738514,0.0532316422597215,2
15,0,300.0,-0.073883072984472,0.08254266925907888,0.3496794094746978,0.1257221228464685,2
5,0,30.0,-0.07643704128915607,0.03593374775244762,0.41278066383162637,0.23548333379511133,2
10,1,3.0,-0.08105634933791894,0.30557669912352925,0.3052488529072393,0.5749996012582574,2
15,1,1000.0,-0.0912159544390937,0.0888404533340158,0.3076049083737485,0.0596792099808128,2
10,0,10.0,-0.09395971093678057,0.2138516989854785,0.33182605006150667,0.37032309867984436,2
15,0,100.0,-0.09662532789909406,0.06702691011291906,0.3556337776350234,0.22117649829220223,2
15,1,300.0,-0.0976736041741274,0.07294916201182178,0.33233597248028474,0.13617362002258054,2
15,1,100.0,-0.10563211170531339,0.02133455070811041,0.3451216486681099,0.24090841187458134,2
15,1,30.0,-0.11797013862448746,0.05016612742733184,0.3361845301741739,0.3809883786994374,2
10,0,3.0,-0.11966254443422081,0.3491764973376303,0.31982590663406146,0.4483350830631321,2
10,0,1.0,-0.13360121052561874,0.42506791662826454,0.31560522185307677,0.49115951375449884,2
5,1,30.0,-0.13791485418756078,0.03929015390136059,0.3729804287303278,0.26979055586252537,2
10,0,0.1,-0.14354386394866653,0.47031861501754896,0.3136085822578075,0.5177538961885534,2
10,0,0.01,-0.14477754371126467,0.47532706626586346,0.3134039580973513,0.520782539489411,2
10,0,0.001,-0.14490400951217425,0.47583314093136014,0.3133834334809209,0.5210897020127282,2
10,0,0.0001,-0.14491668796422363,0.47588380109567696,0.3133813803812087,0.521120461961038,2
15,0,30.0,-0.1700940849915933,0.023613973117976528,0.33859545910457567,0.32964855600006515,2
15,1,10.0,-0.17326533711018588,0.09009555346401388,0.30993435651116547,0.5181033038454514,2
10,1,1.0,-0.17634017308872701,0.4472503427525179,0.2869320611838363,0.6705971746605032,2
5,0,10.0,-0.1882788801620855,0.06464992892072419,0.38907321894683883,0.2965200858210062,2
5,1,10.0,-0.26395534604385695,0.08044489966643142,0.34997739575246156,0.37944731361323214,2
5,0,3.0,-0.2934704756726403,0.09617317344227239,0.35852813574488696,0.34032917820973274,2
15,0,10.0,-0.30195673090209263,0.03247070423559173,0.2953618880909369,0.41865231677533454,2
5,0,1.0,-0.34214382850969216,0.11184971240911767,0.3439426115685176,0.358597549100556,2
5,0,0.1,-0.3685298241729429,0.12076928403159992,0.33611699306416143,0.3681703436985462,2
5,0,0.01,-0.37134930668754473,0.12174508566249964,0.335286759519757,0.36918283257081375,2
5,0,0.001,-0.37163316613053676,0.1218435978629524,0.33520324709205696,0.3692846712311188,2
5,0,0.0001,-0.37166157129105704,0.12185345850949403,0.3351948909482467,0.36929486103602904,2
15,1,3.0,-0.3803862419218138,0.002893323736975484,0.2585841011437895,0.6679279487572563,2
5,1,3.0,-0.42187467527195355,0.11421361728014623,0.31379080171866813,0.48050776135976137,2
15,0,3.0,-0.47943838604501376,0.1386817142970369,0.2550709770156276,0.5069853917121637,2
5,1,1.0,-0.5168168818729989,0.12010963655098406,0.29115709228403547,0.5320764793419535,2
10,1,0.1,-0.5717686970798557,0.8755287632951427,0.23448111906523533,0.8578063338712945,2
5,1,0.1,-0.5833933715596994,0.11321925873996619,0.2710032280633174,0.5672355014386441,2
5,1,0.01,-0.5922525448621363,0.11101287185025943,0.26777985245153996,0.5720589610699458,2
5,1,0.001,-0.593180543789053,0.11075796782505354,0.26743381859348725,0.5725679446476961,2
5,1,0.0001,-0.5932738087575121,0.11073209164765341,0.2673989549424314,0.5726191392284858,2
15,0,1.0,-0.621630473388291,0.2570216696560573,0.23808373175653025,0.5710634366163986,2
15,1,1.0,-0.715659675978352,0.24654500426437553,0.20574598973712413,0.7922025795610026,2
15,0,0.1,-0.7627995494766511,0.3911252690596201,0.22778519922332863,0.6297627910639831,2
15,0,0.01,-0.7844221301447369,0.41236297697200763,0.2263968227972928,0.6383759893462916,2
15,0,0.001,-0.7867074455177351,0.4146142507141207,0.22625051936107637,0.6392816117192911,2
15,0,0.0001,-0.786937286253315,0.41484073331046534,0.22623580645641236,0.6393726451565872,2
10,1,0.01,-0.8514079840630655,1.1587825976271335,0.21677871666731943,0.9492615788860059,2
10,1,0.001,-0.9005748780409967,1.2083113028020316,0.21470883995988488,0.9635213750364026,2
