n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.2751152960457389,0.33339780265663344,so,W10p0,1,2
14,0.1526065815822667,0.8011146743201473,so,W20p0,1,0
12,0.1161722273985385,0.6161741480308833,thetao,W20p0,2,3
6,0.09484613647746121,0.46673188869996296,so,W10p0,1,3
16,0.047547297914887876,0.8535057426365316,so,W20p0,1,1
4,0.04241727659968453,0.371960240434718,so,W20p0,1,9
13,0.03233394470699724,0.6485080927378806,so,W20p0,1,8
10,0.021424901967747934,0.49683180014602246,so,W30p0,1,10
45,0.01999412383135657,0.9395581039455153,thetao,W20p0,2,15
22,0.019839116938429435,0.8739332728844318,so,W10p0,1,11
28,0.012698638143698204,0.8967981205227041,so,W20p0,1,2
