member,year,is_train_time,y_true,y_pred
r10i1p1f1,1853,True,20.334646,20.816371179142596
r10i1p1f1,1854,True,19.691057,20.565088398593517
r10i1p1f1,1855,True,19.976448,20.99446226559785
r10i1p1f1,1856,True,21.124096,21.342980100044464
r10i1p1f1,1857,True,19.04488,21.28479640710292
r10i1p1f1,1858,True,18.766632,21.58352473428307
r10i1p1f1,1859,True,20.325432,21.726436199889324
r10i1p1f1,1860,True,18.819963,21.418245032102448
r10i1p1f1,1861,True,19.707016,21.80729069517425
r10i1p1f1,1862,True,20.190346,22.044628885176188
r10i1p1f1,1863,True,22.024946,22.490626913877577
r10i1p1f1,1864,True,21.706974,22.513145551875333
r10i1p1f1,1865,True,22.652332,22.014958382717108
r10i1p1f1,1866,True,20.826254,21.678850414999197
r10i1p1f1,1867,True,20.430416,21.880322901334115
r10i1p1f1,1868,True,21.22178,21.73117028942659
r10i1p1f1,1869,True,22.471981,21.84119039276504
r10i1p1f1,1870,True,21.203718,21.80429490295171
r10i1p1f1,1871,True,21.388294,21.56609534357409
r10i1p1f1,1872,True,21.882315,21.80296522472576
r10i1p1f1,1873,True,21.101448,22.40241045997178
r10i1p1f1,1874,True,21.614536,21.734669237529385
r10i1p1f1,1875,True,21.242863,22.047517440329056
r10i1p1f1,1876,True,20.844246,22.499382703131936
r10i1p1f1,1877,True,21.593132,21.753777994580112
r10i1p1f1,1878,True,21.51387,21.498458901782662
r10i1p1f1,1879,True,21.405258,21.464153932369648
r10i1p1f1,1880,True,21.859173,21.343472252190608
r10i1p1f1,1881,True,22.675459,21.726578021685352
r10i1p1f1,1882,True,22.445984,22.074194331906742
r10i1p1f1,1883,True,22.422724,21.931116795826558
r10i1p1f1,1884,True,21.461233,21.71006843879222
r10i1p1f1,1885,True,21.490126,21.9314884356637
r10i1p1f1,1886,True,21.70136,21.551821212422258
r10i1p1f1,1887,True,21.849363,21.692547138445427
r10i1p1f1,1888,True,21.30874,22.10532133519341
r10i1p1f1,1889,True,20.785439,21.76581588495966
r10i1p1f1,1890,True,20.343287,21.644758636698423
r10i1p1f1,1891,True,20.995024,21.501039375912676
r10i1p1f1,1892,True,21.86327,21.324414785005818
r10i1p1f1,1893,True,22.809427,21.239260450901057
r10i1p1f1,1894,True,23.058872,20.97862433350495
r10i1p1f1,1895,True,21.13969,21.275224449760675
r10i1p1f1,1896,True,20.619955,21.238487633715327
r10i1p1f1,1897,True,20.445595,20.908082363844706
r10i1p1f1,1898,True,20.08011,20.965593419358143
r10i1p1f1,1899,True,21.469198,21.667170310308794
r10i1p1f1,1900,True,23.030596,21.519930050241225
r10i1p1f1,1901,True,22.014349,21.107145053082984
r10i1p1f1,1902,True,19.543613,21.151308180261072
r10i1p1f1,1903,True,20.992962,21.693646734665993
r10i1p1f1,1904,True,22.019806,21.82150167245762
r10i1p1f1,1905,True,21.42284,21.947375101223372
r10i1p1f1,1906,True,21.073408,22.71981275878709
r10i1p1f1,1907,True,21.583147,22.358355680798432
r10i1p1f1,1908,True,22.276228,21.914152673070873
r10i1p1f1,1909,True,22.968964,22.13459060730825
r10i1p1f1,1910,True,23.708725,22.6978926057899
r10i1p1f1,1911,True,23.172565,22.597250492575363
r10i1p1f1,1912,True,23.416885,22.727900967001485
r10i1p1f1,1913,True,23.52372,22.83866513080644
r10i1p1f1,1914,True,22.513601,22.272506871101793
r10i1p1f1,1915,True,22.184576,22.590794419305745
r10i1p1f1,1916,True,22.345955,22.832698396850297
r10i1p1f1,1917,True,23.056509,22.383631771239717
r10i1p1f1,1918,True,25.116499,22.228241331581263
r10i1p1f1,1919,True,25.326073,22.235923705457957
r10i1p1f1,1920,True,25.594465,22.539123942964842
r10i1p1f1,1921,True,24.364716,21.65544328817677
r10i1p1f1,1922,True,24.328995,21.77172121977424
r10i1p1f1,1923,True,23.937878,22.507234786731765
r10i1p1f1,1924,True,23.385164,22.31346624094608
r10i1p1f1,1925,True,22.987223,22.46969026190735
r10i1p1f1,1926,True,22.79713,22.189373888341034
r10i1p1f1,1927,True,21.623646,21.489491877634148
r10i1p1f1,1928,True,19.930311,21.739186782111062
r10i1p1f1,1929,True,20.047642,21.38598345246016
r10i1p1f1,1930,True,20.388252,21.423253153441514
r10i1p1f1,1931,True,20.41531,21.798209100047334
r10i1p1f1,1932,True,21.33765,21.963229628967152
r10i1p1f1,1933,True,21.103367,21.640677832770834
r10i1p1f1,1934,True,20.611673,21.340214666051917
r10i1p1f1,1935,True,20.367886,21.32464485344343
r10i1p1f1,1936,True,21.155134,21.617144450201835
r10i1p1f1,1937,True,22.849012,22.0865095114879
r10i1p1f1,1938,True,20.888493,21.652465147947222
r10i1p1f1,1939,True,20.949425,21.401576085250653
r10i1p1f1,1940,True,20.563215,21.5886164814406
r10i1p1f1,1941,True,22.788979,22.091225927393786
r10i1p1f1,1942,True,22.097399,22.35758252688767
r10i1p1f1,1943,True,22.016562,21.81805316847317
r10i1p1f1,1944,True,22.903233,21.966650447298036
r10i1p1f1,1945,True,21.429253,21.825917719567624
r10i1p1f1,1946,True,19.975569,21.440127951033737
r10i1p1f1,1947,True,20.017895,21.51299595613099
r10i1p1f1,1948,True,20.69071,22.148379418228902
r10i1p1f1,1949,True,21.501995,22.1353791564517
r10i1p1f1,1950,True,22.983255,22.487805607365072
r10i1p1f1,1951,True,23.279236,22.222313397206495
r10i1p1f1,1952,True,23.227753,21.73804019952797
r10i1p1f1,1953,True,21.704504,21.688244933985334
r10i1p1f1,1954,True,22.079338,22.191792598475523
r10i1p1f1,1955,True,20.798523,21.80924592843533
r10i1p1f1,1956,True,21.379936,21.99911420255435
r10i1p1f1,1957,True,22.523195,22.148589440149966
r10i1p1f1,1958,True,22.25557,22.210156210185165
r10i1p1f1,1959,True,21.962643,22.51963951903665
r10i1p1f1,1960,True,23.832874,22.118246989197566
r10i1p1f1,1961,True,22.68102,22.60525581769406
r10i1p1f1,1962,True,22.229843,22.36879902809749
r10i1p1f1,1963,True,21.755701,22.086284455766922
r10i1p1f1,1964,True,21.051363,21.931557536442728
r10i1p1f1,1965,True,20.714336,22.055095219140505
r10i1p1f1,1966,True,21.31201,22.211797505155698
r10i1p1f1,1967,True,21.945314,22.489775352607225
r10i1p1f1,1968,True,22.11311,22.812990653746184
r10i1p1f1,1969,True,22.930384,22.837636172337703
r10i1p1f1,1970,True,24.49119,23.225475378713092
r10i1p1f1,1971,True,23.39418,23.42681653035096
r10i1p1f1,1972,True,24.447323,23.54489316827189
r10i1p1f1,1973,True,25.22221,23.425886168943467
r10i1p1f1,1974,True,24.53586,23.151231912117858
r10i1p1f1,1975,True,24.253885,23.515356064515316
r10i1p1f1,1976,True,22.980963,23.50779576545549
r10i1p1f1,1977,True,26.127506,24.0667938710895
r10i1p1f1,1978,True,25.325083,23.76239006725821
r10i1p1f1,1979,True,23.02519,23.350114354153053
r10i1p1f1,1980,True,22.389353,23.429153132007947
r10i1p1f1,1981,True,21.646448,23.252230388964154
r10i1p1f1,1982,True,21.678194,23.413096311756963
r10i1p1f1,1983,True,24.181412,24.04746740148132
r10i1p1f1,1984,True,25.985346,23.68130088918212
r10i1p1f1,1985,True,25.130997,23.63236921680419
r10i1p1f1,1986,True,23.168915,23.81719782773226
r10i1p1f1,1987,True,24.946562,24.087553673349852
r10i1p1f1,1988,True,24.558716,24.024849685434276
r10i1p1f1,1989,True,22.83163,23.691945400050116
r1i1p1f1,1853,True,21.068336,21.45058606924703
r1i1p1f1,1854,True,21.290356,21.493422136784176
