k,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method
1,0.6137014285636395,0.8040580511625859,53,so W10p0 EOF1 lag0,spike_curve_post.csv,all
2,0.7447648213375069,0.8646879140061677,"0,46",thetao W60p0 EOF2 lag0 | thetao W10p0 EOF2 lag12,spike_curve_post.csv,all
3,0.7642803652817025,0.8774931911215005,"0,15,22",thetao W60p0 EOF2 lag0 | thetao W20p0 EOF9 lag5 | so W60p0 EOF1 lag3,spike_curve_post.csv,all
4,0.7896034266899016,0.8937885227619249,"0,18,37,45",thetao W60p0 EOF2 lag0 | thetao W30p0 EOF2 lag1 | so W20p0 EOF10 lag18 | thetao W10p0 EOF1 lag1,spike_curve_post.csv,all
5,0.8254928516496076,0.9116571995043423,"0,18,36,37,45",thetao W60p0 EOF2 lag0 | thetao W30p0 EOF2 lag1 | thetao W10p0 EOF1 lag20 | so W20p0 EOF10 lag18 | thetao W10p0 EOF1 lag1,spike_curve_post.csv,all
