Top curve-selected candidate steps (mapped to ranked features)
MODEL=IPSL-CM6A-LR  TARGET=AMOC_45N_member  MODE=member  RUN=r14i1p1f1
curve_file=/data/users/frekle/Final_figures/IPSL-CM6A-LR/AMOC_45N_member/Feature_selection/r14i1p1f1/spike_curve_post.csv
candidate_method=all  topK=10  score_col=None

n=  1  curve_r2=0.2255  feature=thetao W40p0 EOF3 lag0
n=  2  curve_r2=0.3464  feature=so W30p0 EOF1 lag4
n=  3  curve_r2=0.4508  feature=thetao W60p0 EOF2 lag0
n=  4  curve_r2=0.4862  feature=so W30p0 EOF1 lag5
n=  5  curve_r2=0.5002  feature=so W10p0 EOF4 lag1
n=  6  curve_r2=0.5117  feature=thetao W20p0 EOF2 lag0
n=  7  curve_r2=0.5171  feature=so W10p0 EOF4 lag0
n=  8  curve_r2=0.5168  feature=so W30p0 EOF1 lag7
n=  9  curve_r2=0.5184  feature=so W30p0 EOF1 lag6
n= 10  curve_r2=0.5181  feature=so W10p0 EOF4 lag2
