n,delta_r2,post_r2,var,lon_tag,mode,lag
14,0.030508903736997772,0.13376219921731958,thetao,W60p0,9,1
16,0.027933980910718526,0.1648196764105827,thetao,W20p0,1,19
21,0.023080261423483628,0.20799372509268765,thetao,W20p0,1,20
12,0.020200553400998023,0.09401799200988792,thetao,W10p0,2,15
9,0.018871450385045452,0.05728056038334095,thetao,W60p0,9,2
8,0.015838848372888292,0.0384091099982955,thetao,W40p0,1,17
38,0.015570734130959107,0.269314074371129,so,W40p0,2,2
44,0.014737391560812774,0.2995661803583278,so,W20p0,8,15
51,0.014039913322420716,0.3279781764140862,so,W40p0,2,3
23,0.013138664813583056,0.22248897231570797,so,W10p0,10,19
28,0.010941759322828037,0.23813389604319224,so,W10p0,10,18
5,0.010725513537533704,0.02097462129738803,so,W60p0,1,0
