n,delta_r2,post_r2,var,lon_tag,mode,lag
5,0.2166510594612171,0.43308947792354635,so,W40p0,1,0
4,0.19963788898631252,0.21643841846232925,thetao,W20p0,2,6
6,0.17225600307394728,0.6053454809974936,thetao,W20p0,2,5
7,0.0959369742105527,0.7012824552080463,so,W40p0,2,2
18,0.08900548883769877,0.9346446922016187,thetao,W10p0,4,6
21,0.05407320420486039,0.9905442848818153,so,W10p0,2,10
11,0.04440702352270354,0.7890299649691912,so,W60p0,1,0
8,0.04058817164229733,0.7418706268503437,so,W60p0,2,4
15,0.03823578332409905,0.8398433602199932,so,W30p0,2,0
2,0.01543533514753681,0.016373731223621846,so,W60p0,2,3
