alpha,mean_cv_r2,std_cv_r2
3.0,-9.37300013247201,7.508448255589436
4.0,-9.40791352023299,7.748212255243598
5.0,-9.547812170457155,8.114248673368499
10.0,-10.75074844886039,10.444969044043784
1.0,-10.934410519325624,9.094891920632424
30.0,-16.548153910231452,18.743459559977147
0.3,-19.072348464007632,19.68879396616622
40.0,-19.188500382122804,21.696938546726454
50.0,-21.577257537056877,24.045124119586156
60.0,-23.730067350966035,25.93123613427898
70.0,-25.671761842446134,27.46421165458446
100.0,-30.4718288464499,30.654412664279235
0.1,-38.51641765880584,46.0871578471333
300.0,-44.965358923106635,36.44615545071992
0.03,-64.7989396026767,82.33160081977081
0.01,-79.5245024328996,102.75829096647139
