n,feature,score,curve_r2
1,thetao W40p0 EOF3 lag0,,0.2853440402199948
2,so W60p0 EOF1 lag0,,0.4469239486252174
3,so W60p0 EOF1 lag1,,0.4784883997994729
4,thetao W60p0 EOF2 lag0,,0.4889084844348297
5,so W40p0 EOF3 lag0,,0.511074424219242
6,so W10p0 EOF4 lag1,,0.5246833151050916
7,so W30p0 EOF1 lag4,,0.5703306171172655
8,so W10p0 EOF4 lag0,,0.569557118100541
9,thetao W10p0 EOF1 lag6,,0.5864579503189675
10,so W10p0 EOF4 lag6,,0.6048398557505442
